name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age,city,county,state,status
Nathalie Tworek,1900-01-01,1763,92102,2012-09-01,1183.0,1183.0,122,San Diego,San Diego County,CA,low risk
Toshiko Sacco,1900-01-01,2310,92187,2011-01-01,692.0,692.0,122,San Diego,San Diego County,CA,low risk
Christin Svoboda,1984-09-17,395,92131,2012-09-02,1837.0,1837.0,38,San Diego,San Diego County,CA,low risk
Alleen Credle,1973-02-11,58,92123,2011-02-01,1892.0,1892.0,49,San Diego,San Diego County,CA,low risk
Eldon Reiss,1900-01-01,643,92135,2012-05-01,1432.0,1432.0,122,San Diego,San Diego County,CA,low risk
Elia Veasey,1972-11-17,657,92111,2011-12-01,1455.0,1455.0,50,San Diego,San Diego County,CA,low risk
Loralee Baldon,1973-02-21,1445,92133,2011-04-04,1279.0,1279.0,49,San Diego,San Diego County,CA,low risk
September Vesely,1981-12-02,2061,92113,2010-05-01,2023.0,2023.0,41,San Diego,San Diego County,CA,low risk
Luanna Buchwald,1977-01-05,1468,92191,2011-07-01,-190.05,1267.0,45,San Diego,San Diego County,CA,low risk
Elma Bozell,1971-12-05,669,92140,2012-02-01,1243.0,1243.0,51,San Diego,San Diego County,CA,low risk
Fe Zurita,1993-04-14,770,92111,2010-11-03,1669.0,1669.0,29,San Diego,San Diego County,CA,low risk
Cyndy Levalley,1972-06-14,464,92179,2012-04-01,1644.0,1644.0,50,San Diego,San Diego County,CA,low risk
Julieta Weaver,1900-01-01,1174,92179,2012-09-04,1586.0,1586.0,122,San Diego,San Diego County,CA,low risk
Maryrose Flavell,1900-01-01,1637,92150,2012-04-01,1677.0,1677.0,122,San Diego,San Diego County,CA,low risk
Kalyn Redner,1900-01-01,1186,92130,2011-04-02,1466.0,1466.0,122,San Diego,San Diego County,CA,low risk
Tammie Beggs,1900-01-01,2210,92172,2010-06-01,1499.0,1499.0,122,San Diego,San Diego County,CA,low risk
Jennie Carnegie,1900-01-01,1097,92190,2012-03-01,1681.0,1681.0,122,San Diego,San Diego County,CA,low risk
Malcolm Bankhead,1978-12-01,1539,92126,2010-04-05,1083.0,1083.0,44,San Diego,San Diego County,CA,low risk
Olin Cephas,1900-01-01,1838,92171,2010-10-01,1035.0,1035.0,122,San Diego,San Diego County,CA,low risk
Harmony Eshelman,1989-07-21,913,92122,2011-03-01,1328.0,1328.0,33,San Diego,San Diego County,CA,low risk
Sherly Mccutchen,1900-01-01,2121,92179,2010-12-07,1413.0,1413.0,122,San Diego,San Diego County,CA,low risk
Jewel Jiang,1996-11-08,1114,92160,2011-10-01,1321.0,1321.0,26,San Diego,San Diego County,CA,low risk
Saran Spear,1900-01-01,2055,92192,2011-10-01,1326.0,1326.0,122,San Diego,San Diego County,CA,low risk
Marleen Avera,1980-04-09,1604,92115,2010-08-01,1810.0,1810.0,42,San Diego,San Diego County,CA,low risk
Kacey Quesenberry,1900-01-01,1178,92139,2011-04-02,1760.0,1760.0,122,San Diego,San Diego County,CA,low risk
Somer Chapman,1996-10-07,2152,92111,2011-05-01,1428.0,1428.0,26,San Diego,San Diego County,CA,low risk
Cecila Books,1954-07-06,343,92172,2010-11-01,1191.0,1191.0,68,San Diego,San Diego County,CA,low risk
Alberta Paugh,1900-01-01,33,92160,2010-07-01,1294.0,1294.0,122,San Diego,San Diego County,CA,low risk
Virginia Latson,1900-01-01,2390,92166,2010-06-01,1692.0,1692.0,122,San Diego,San Diego County,CA,low risk
Wendie Urman,1900-01-01,2418,92123,2010-05-01,1667.0,1667.0,122,San Diego,San Diego County,CA,low risk
Nevada Buggs,1900-01-01,1776,92153,2010-05-01,933.0,933.0,122,San Diego,San Diego County,CA,low risk
Arline Aceto,1900-01-01,143,92112,2011-02-01,1639.0,1639.0,122,San Diego,San Diego County,CA,low risk
Luisa Boyle,1900-01-01,1483,92112,2011-02-01,1032.0,1032.0,122,San Diego,San Diego County,CA,low risk
Leigh Culton,1987-08-09,1374,92140,2010-12-01,2005.0,2005.0,35,San Diego,San Diego County,CA,low risk
Lucila Fender,1900-01-01,1470,92190,2011-02-01,1390.0,1390.0,122,San Diego,San Diego County,CA,low risk
Dorla Bogart,1979-04-09,602,92155,2012-06-01,1888.0,1888.0,43,San Diego,San Diego County,CA,low risk
Darren Tucker,1974-01-20,510,92133,2010-02-01,1584.0,1584.0,48,San Diego,San Diego County,CA,low risk
Juliana Cooney,1900-01-01,1168,92140,2012-01-01,1644.0,1644.0,122,San Diego,San Diego County,CA,low risk
Katina Skillings,1983-09-11,1217,92136,2012-09-01,1433.0,1433.0,39,San Diego,San Diego County,CA,low risk
Chery Sherrill,1988-02-25,385,92132,2010-06-01,1613.0,1613.0,34,San Diego,San Diego County,CA,low risk
Gussie Cornette,1963-03-04,891,92139,2011-01-01,1971.0,1971.0,59,San Diego,San Diego County,CA,low risk
Kory Knapper,1984-08-06,1277,92169,2012-05-01,1743.0,1743.0,38,San Diego,San Diego County,CA,low risk
Tonie Laberge,1978-04-11,2302,92142,2010-09-01,1660.0,1660.0,44,San Diego,San Diego County,CA,low risk
Jacqualine Bruso,1969-09-17,1005,92103,2012-03-08,1257.0,1257.0,53,San Diego,San Diego County,CA,low risk
Darren Tucker,1974-01-20,510,92133,2010-07-01,1584.0,1584.0,48,San Diego,San Diego County,CA,low risk
Dusti Rueb,1900-01-01,615,92184,2010-12-03,1717.0,1717.0,122,San Diego,San Diego County,CA,low risk
Madison Frankum,1900-01-01,1517,92131,2010-11-01,1718.0,1718.0,122,San Diego,San Diego County,CA,low risk
Elvera Yancy,1900-01-01,678,92115,2011-11-05,2007.0,2007.0,122,San Diego,San Diego County,CA,low risk
Elanor Situ,1900-01-01,638,92114,2012-06-01,1840.0,1840.0,122,San Diego,San Diego County,CA,low risk
Hwa Teske,1900-01-01,961,92176,2010-03-01,1012.0,1012.0,122,San Diego,San Diego County,CA,low risk
Marilyn Kessinger,1967-05-19,1595,92104,2010-12-02,1061.0,1061.0,55,San Diego,San Diego County,CA,low risk
Elayne Kulpa,1990-05-11,639,92117,2010-09-01,1615.0,1615.0,32,San Diego,San Diego County,CA,low risk
Susann Schwarz,1965-09-01,2192,92120,2011-02-01,1643.0,1643.0,57,San Diego,San Diego County,CA,low risk
Ashton Girouard,1999-02-19,156,92168,2010-10-01,1135.0,1135.0,23,San Diego,San Diego County,CA,low risk
Bok Leclaire,1948-02-14,226,92140,2011-06-01,2174.0,2174.0,74,San Diego,San Diego County,CA,low risk
Shawnee Retherford,1995-01-23,2102,92147,2010-08-01,2042.0,2042.0,27,San Diego,San Diego County,CA,low risk
Racquel Jimenez,1983-11-06,1905,92119,2011-05-01,1301.0,1301.0,39,San Diego,San Diego County,CA,low risk
An Jain,1900-01-01,106,92145,2012-07-01,1587.0,1587.0,122,San Diego,San Diego County,CA,low risk
Lorina Krehbiel,1984-10-23,1452,92165,2011-06-05,1477.0,1477.0,38,San Diego,San Diego County,CA,low risk
Franklin Scrivens,1995-02-19,800,92195,2010-06-05,1667.0,1667.0,27,San Diego,San Diego County,CA,low risk
Chery Sherrill,1988-02-25,386,92123,2012-03-01,946.0,946.0,34,San Diego,San Diego County,CA,low risk
Brant Spires,1974-06-09,239,92191,2012-01-08,1900.0,1900.0,48,San Diego,San Diego County,CA,low risk
Lucio Culler,1988-03-10,1475,92179,2011-07-01,1337.0,1337.0,34,San Diego,San Diego County,CA,low risk
Harland Wyse,1976-10-17,912,92128,2011-02-01,1995.0,1995.0,46,San Diego,San Diego County,CA,low risk
Elsy Speier,1900-01-01,675,92145,2012-01-05,1654.0,1654.0,122,San Diego,San Diego County,CA,low risk
Rufus Puryear,1900-01-01,2009,92142,2012-04-01,1833.0,1833.0,122,San Diego,San Diego County,CA,low risk
Deloris Meiners,1978-02-24,547,92114,2011-11-01,1466.0,1466.0,44,San Diego,San Diego County,CA,low risk
Malcolm Casali,1980-08-12,1540,92101,2012-05-05,885.0,885.0,42,San Diego,San Diego County,CA,low risk
Gloria Gamble,1954-03-10,871,92107,2011-09-02,1684.0,1684.0,68,San Diego,San Diego County,CA,low risk
Marco Pelkey,1957-07-02,1556,92191,2012-02-01,1524.0,1524.0,65,San Diego,San Diego County,CA,low risk
Jamal Parman,1971-12-02,1020,92187,2010-03-01,1443.0,1443.0,51,San Diego,San Diego County,CA,low risk
Fleta Groseclose,1900-01-01,775,92153,2012-07-07,1508.0,1508.0,122,San Diego,San Diego County,CA,low risk
Joaquina Leitner,1900-01-01,1119,92171,2011-10-01,1353.0,1353.0,122,San Diego,San Diego County,CA,low risk
Lucio Culler,1988-03-10,1475,92179,2010-11-01,1337.0,1337.0,34,San Diego,San Diego County,CA,low risk
Clotilde Schultze,1970-02-10,432,92147,2011-05-01,1536.0,1536.0,52,San Diego,San Diego County,CA,low risk
Chrissy Brockington,1900-01-01,392,92162,2010-07-06,1536.0,1536.0,122,San Diego,San Diego County,CA,low risk
Davina Burgo,1900-01-01,518,92164,2011-05-01,1622.0,1622.0,122,San Diego,San Diego County,CA,low risk
Jenelle Hardin,1988-05-05,1090,92192,2011-11-06,1053.0,1053.0,34,San Diego,San Diego County,CA,low risk
Lelia Glaude,1900-01-01,1381,92160,2011-08-01,1378.0,1378.0,122,San Diego,San Diego County,CA,low risk
Elden Gillenwater,1900-01-01,641,92129,2010-06-03,925.0,925.0,122,San Diego,San Diego County,CA,low risk
Georgette Kowalczyk,1986-12-05,834,92136,2012-07-01,2303.0,2303.0,36,San Diego,San Diego County,CA,low risk
Fe Ditch,1900-01-01,757,92158,2010-05-01,1244.0,1244.0,122,San Diego,San Diego County,CA,low risk
Nicolle Swigert,1984-02-05,1794,92170,2011-11-06,1780.0,1780.0,38,San Diego,San Diego County,CA,low risk
Wally Lavoie,1971-02-06,2401,92115,2010-02-01,1693.0,1693.0,51,San Diego,San Diego County,CA,low risk
India Linehan,1963-03-06,972,92122,2011-04-01,1004.0,1004.0,59,San Diego,San Diego County,CA,low risk
Chantal Gaut,1900-01-01,357,92139,2012-09-01,1831.0,1831.0,122,San Diego,San Diego County,CA,low risk
Billye Ashford,1977-09-26,212,92192,2012-08-01,1516.0,1516.0,45,San Diego,San Diego County,CA,low risk
Saran Spear,1900-01-01,2055,92192,2011-03-02,1326.0,1326.0,122,San Diego,San Diego County,CA,low risk
Becky Oh,1981-11-02,188,92182,2012-02-01,994.0,994.0,41,San Diego,San Diego County,CA,low risk
Eneida Cheatwood,1900-01-01,703,92103,2010-07-01,2044.0,2044.0,122,San Diego,San Diego County,CA,low risk
Jamaal Hundley,1900-01-01,1017,92116,2010-08-01,1466.0,1466.0,122,San Diego,San Diego County,CA,low risk
Dorris Velez,1955-11-25,603,92109,2011-02-01,1813.0,1813.0,67,San Diego,San Diego County,CA,low risk
Luana Pegram,1900-01-01,1464,92163,2010-04-02,1424.0,1424.0,122,San Diego,San Diego County,CA,low risk
Caren Knell,1938-12-02,294,92175,2010-03-01,1825.0,1825.0,84,San Diego,San Diego County,CA,low risk
Santo Hanney,1900-01-01,2052,92174,2012-03-01,1750.0,1750.0,122,San Diego,San Diego County,CA,low risk
Dominique Graves,1900-01-01,592,92139,2011-09-01,1294.0,1294.0,122,San Diego,San Diego County,CA,low risk
Maisha Furniss,1900-01-01,1536,92130,2010-09-03,1688.0,1688.0,122,San Diego,San Diego County,CA,low risk
Harry Casimir,1962-02-03,920,92129,2010-08-01,1364.0,1364.0,60,San Diego,San Diego County,CA,low risk
Danny Charland,1989-04-28,494,92108,2012-05-01,1333.0,1333.0,33,San Diego,San Diego County,CA,low risk
Berneice Power,1984-08-24,196,92123,2011-07-02,1756.0,1756.0,38,San Diego,San Diego County,CA,low risk
Ashlea Pietz,1980-09-07,155,92119,2010-05-01,1925.0,1925.0,42,San Diego,San Diego County,CA,low risk
Krystal Dombrosky,1900-01-01,1283,92130,2012-01-01,1614.0,1614.0,122,San Diego,San Diego County,CA,low risk
Chante Mowery,1900-01-01,361,92129,2011-08-01,1555.0,1555.0,122,San Diego,San Diego County,CA,low risk
Dortha Holtzman,1979-06-02,604,92111,2011-11-01,1611.0,1611.0,43,San Diego,San Diego County,CA,low risk
Ardith Cournoyer,1900-01-01,132,92103,2012-08-01,1687.0,1687.0,122,San Diego,San Diego County,CA,low risk
Ranee Bessler,1900-01-01,1914,92174,2010-09-01,1773.0,1773.0,122,San Diego,San Diego County,CA,low risk
Azalee Lao,1992-05-26,174,92171,2011-09-01,1928.0,1928.0,30,San Diego,San Diego County,CA,low risk
Christian Arredondo,1971-09-15,394,92121,2010-08-01,1231.0,1231.0,51,San Diego,San Diego County,CA,low risk
Shera Caruthers,1986-03-15,2113,92186,2011-04-07,1515.0,1515.0,36,San Diego,San Diego County,CA,low risk
Coleen March,1900-01-01,435,92120,2011-10-01,937.0,937.0,122,San Diego,San Diego County,CA,low risk
Sherwood Esper,1984-09-26,2127,92184,2012-09-01,1260.0,1260.0,38,San Diego,San Diego County,CA,low risk
Louvenia Meuser,1900-01-01,1461,92132,2012-02-01,1520.0,1520.0,122,San Diego,San Diego County,CA,low risk
Damien Rathbun,1900-01-01,474,92103,2011-11-01,1580.0,1580.0,122,San Diego,San Diego County,CA,low risk
Mayola Spier,1900-01-01,1647,92165,2010-07-01,1368.0,1368.0,122,San Diego,San Diego County,CA,low risk
Codi Roloff,1900-01-01,433,92129,2011-08-01,1505.0,1505.0,122,San Diego,San Diego County,CA,low risk
Ward Ealy,1957-07-06,2410,92147,2011-08-01,1618.0,1618.0,65,San Diego,San Diego County,CA,low risk
Ouida Vanzile,1900-01-01,1853,92147,2011-09-01,1593.0,1593.0,122,San Diego,San Diego County,CA,low risk
Berneice Power,1984-08-24,196,92123,2010-03-01,1756.0,1756.0,38,San Diego,San Diego County,CA,low risk
Elliott Fong,1900-01-01,665,92145,2010-10-01,1662.0,1662.0,122,San Diego,San Diego County,CA,low risk
Ethan Mosteller,2018-08-08,722,92199,2011-06-01,1844.0,1844.0,4,San Diego,San Diego County,CA,low risk
Salvatore Keim,1968-01-17,2035,92103,2010-04-01,1764.0,1764.0,54,San Diego,San Diego County,CA,low risk
Maribel Rosenburg,1900-01-01,1578,92122,2010-09-01,1460.0,1460.0,122,San Diego,San Diego County,CA,low risk
Sacha Hodges,1900-01-01,2027,92195,2011-06-01,1913.0,1913.0,122,San Diego,San Diego County,CA,low risk
Boris Tebbs,1959-12-20,228,92137,2012-07-01,1334.0,1334.0,63,San Diego,San Diego County,CA,low risk
Blanca Drost,1900-01-01,219,92186,2012-05-01,1326.0,1326.0,122,San Diego,San Diego County,CA,low risk
Pedro States,1900-01-01,1877,92186,2010-03-01,1478.0,1478.0,122,San Diego,San Diego County,CA,low risk
Sacha Hodges,1900-01-01,2027,92195,2010-03-01,1913.0,1913.0,122,San Diego,San Diego County,CA,low risk
Kemberly Currence,1900-01-01,1236,92190,2010-06-01,1902.0,1902.0,122,San Diego,San Diego County,CA,low risk
Felicia Quesnel,1975-07-12,762,92162,2012-05-01,1781.0,1781.0,47,San Diego,San Diego County,CA,low risk
Delana Fino,1981-01-17,537,92126,2010-04-01,1412.0,1412.0,41,San Diego,San Diego County,CA,low risk
Cassaundra Cirilo,1991-04-15,332,92182,2010-06-01,808.0,808.0,31,San Diego,San Diego County,CA,low risk
Vergie Lehto,1996-11-08,2366,92193,2010-08-01,1945.0,1945.0,26,San Diego,San Diego County,CA,low risk
Dalia Sackett,1900-01-01,470,92165,2011-10-01,1804.0,1804.0,122,San Diego,San Diego County,CA,low risk
Karren Mayhew,1900-01-01,1199,92160,2011-12-01,2124.0,2124.0,122,San Diego,San Diego County,CA,low risk
Josie Judon,1900-01-01,1157,92137,2012-06-04,1500.0,1500.0,122,San Diego,San Diego County,CA,low risk
Sabrina Fleischman,1900-01-01,2025,92112,2010-03-03,1706.0,1706.0,122,San Diego,San Diego County,CA,low risk
Chere Bahl,2021-12-12,379,92177,2012-01-01,801.0,801.0,1,San Diego,San Diego County,CA,low risk
Carolyne Radley,1900-01-01,324,92192,2011-08-01,1876.0,1876.0,122,San Diego,San Diego County,CA,low risk
Nieves Mercier,1900-01-01,1796,92164,2011-09-01,1486.0,1486.0,122,San Diego,San Diego County,CA,low risk
Loralee Baldon,1973-02-21,1445,92133,2010-10-02,1279.0,1279.0,49,San Diego,San Diego County,CA,low risk
Maryland Heyne,1978-03-06,1632,92170,2010-09-02,1003.0,1003.0,44,San Diego,San Diego County,CA,low risk
Angeline Gennaro,1975-05-16,97,92135,2011-04-01,1137.0,1137.0,47,San Diego,San Diego County,CA,low risk
Thomas Baumeister,1958-09-23,2266,92108,2010-10-01,1580.0,1580.0,64,San Diego,San Diego County,CA,low risk
Debroah Morlan,1900-01-01,534,92122,2010-10-01,1776.0,1776.0,122,San Diego,San Diego County,CA,low risk
Luvenia Maclaren,1900-01-01,1491,92186,2010-07-08,1516.0,1516.0,122,San Diego,San Diego County,CA,low risk
Margy Burgin,1900-01-01,1574,92102,2010-12-01,1409.0,1409.0,122,San Diego,San Diego County,CA,low risk
Sudie Galante,1957-05-08,2183,92105,2010-05-07,1208.0,1208.0,65,San Diego,San Diego County,CA,low risk
Veronique Hogans,1996-03-15,2375,92182,2010-04-01,1596.0,1596.0,26,San Diego,San Diego County,CA,low risk
Assunta Stoval,1991-07-23,158,92186,2012-01-06,980.0,980.0,31,San Diego,San Diego County,CA,low risk
Ariel Ratley,1900-01-01,137,92187,2011-01-01,1869.0,1869.0,122,San Diego,San Diego County,CA,low risk
Delta Gioia,1900-01-01,554,92196,2011-09-01,1639.0,1639.0,122,San Diego,San Diego County,CA,low risk
Dortha Holtzman,1979-06-02,604,92111,2012-03-01,1611.0,1611.0,43,San Diego,San Diego County,CA,low risk
Chantelle Eaker,1992-12-17,359,92103,2011-07-01,1705.0,1705.0,30,San Diego,San Diego County,CA,low risk
Lorinda Cude,1977-07-19,1455,92160,2012-04-01,1138.0,1138.0,45,San Diego,San Diego County,CA,low risk
Wanetta Fyfe,1900-01-01,2408,92113,2010-12-01,1916.0,1916.0,122,San Diego,San Diego County,CA,low risk
Magali Leveque,1959-05-14,1519,92134,2010-02-01,1422.0,1422.0,63,San Diego,San Diego County,CA,low risk
Erasmo Plaisance,1980-02-19,706,92175,2012-01-01,1417.0,1417.0,42,San Diego,San Diego County,CA,low risk
Odelia Dugan,1995-04-18,1830,92190,2011-04-01,1290.0,1290.0,27,San Diego,San Diego County,CA,low risk
Giovanni Cremer,1900-01-01,853,92179,2012-02-04,1738.0,1738.0,122,San Diego,San Diego County,CA,low risk
Angelika Lamorte,1900-01-01,96,92129,2011-01-01,-165.45,1103.0,122,San Diego,San Diego County,CA,low risk
Vi Cantara,1900-01-01,2378,92114,2011-04-01,1056.0,1056.0,122,San Diego,San Diego County,CA,low risk
Song Kubat,1900-01-01,2156,92121,2010-10-01,1892.0,1892.0,122,San Diego,San Diego County,CA,low risk
Lashaunda Storer,1900-01-01,1333,92190,2011-04-01,2137.0,2137.0,122,San Diego,San Diego County,CA,low risk
Meghann Moorman,1981-11-01,1651,92119,2012-07-04,855.0,855.0,41,San Diego,San Diego County,CA,low risk
Leighann Neighbors,1969-01-07,1373,92104,2011-07-01,1981.0,1981.0,53,San Diego,San Diego County,CA,low risk
Brooke Novello,1900-01-01,249,92179,2011-06-01,1659.0,1659.0,122,San Diego,San Diego County,CA,low risk
Astrid Laurence,1988-05-15,159,92120,2010-04-01,1134.0,1134.0,34,San Diego,San Diego County,CA,low risk
Doretta Pagaduan,1969-12-18,601,92108,2010-07-01,1638.0,1638.0,53,San Diego,San Diego County,CA,low risk
Ardath Armand,1900-01-01,126,92139,2012-08-01,1265.0,1265.0,122,San Diego,San Diego County,CA,low risk
Rudy Stirling,2005-04-02,2008,92136,2010-08-01,1362.0,1362.0,17,San Diego,San Diego County,CA,low risk
Nickie Weatherly,1978-12-07,1788,92193,2011-02-01,921.0,921.0,44,San Diego,San Diego County,CA,low risk
Nana Rousey,1964-08-26,1750,92129,2012-03-01,1600.0,1600.0,58,San Diego,San Diego County,CA,low risk
Joy Rowlands,1900-01-01,1162,92123,2010-06-01,1040.0,1040.0,122,San Diego,San Diego County,CA,low risk
Cecily Straka,1956-05-07,346,92177,2011-02-01,2031.0,2031.0,66,San Diego,San Diego County,CA,low risk
Britni Pagel,1900-01-01,248,92187,2011-05-01,1481.0,1481.0,122,San Diego,San Diego County,CA,low risk
Fransisca Scrivens,1975-02-08,803,92110,2012-09-01,1119.0,1119.0,47,San Diego,San Diego County,CA,low risk
Lashaunda Weingartner,1900-01-01,1334,92155,2010-07-01,1341.0,1341.0,122,San Diego,San Diego County,CA,low risk
Signe Coombe,1959-11-04,2143,92160,2012-07-01,1481.0,1481.0,63,San Diego,San Diego County,CA,low risk
Mack Triano,1900-01-01,1508,92122,2011-03-01,1334.0,1334.0,122,San Diego,San Diego County,CA,low risk
Weldon Perna,1900-01-01,2415,92199,2010-07-01,1377.0,1377.0,122,San Diego,San Diego County,CA,low risk
Celesta Deng,1959-03-16,349,92153,2011-02-01,1237.0,1237.0,63,San Diego,San Diego County,CA,low risk
Elmira Crudup,1992-05-23,670,92136,2010-07-01,1818.0,1818.0,30,San Diego,San Diego County,CA,low risk
Tessa Humbert,1969-04-15,2254,92103,2011-03-01,1355.0,1355.0,53,San Diego,San Diego County,CA,low risk
Ahmad Eakin,1900-01-01,23,92186,2012-08-01,1411.0,1411.0,122,San Diego,San Diego County,CA,low risk
Xuan Henningsen,1900-01-01,2444,92103,2012-04-01,683.0,683.0,122,San Diego,San Diego County,CA,low risk
Erich Corr,1900-01-01,708,92121,2010-02-04,1367.0,1367.0,122,San Diego,San Diego County,CA,low risk
Holli Gilliard,1992-03-21,944,92197,2012-09-01,1768.0,1768.0,30,San Diego,San Diego County,CA,low risk
Frank Correll,1982-05-23,796,92137,2011-04-01,968.0,968.0,40,San Diego,San Diego County,CA,low risk
Elanor Situ,1900-01-01,638,92114,2012-01-01,1840.0,1840.0,122,San Diego,San Diego County,CA,low risk
Yun Guimond,1900-01-01,2462,92160,2010-08-01,1461.0,1461.0,122,San Diego,San Diego County,CA,low risk
Shawnda Damron,1900-01-01,2097,92102,2011-06-01,1704.0,1704.0,122,San Diego,San Diego County,CA,low risk
Mac Straley,1985-05-24,1509,92102,2010-02-01,1872.0,1872.0,37,San Diego,San Diego County,CA,low risk
Dortha Holtzman,1979-06-02,604,92111,2010-12-01,1611.0,1611.0,43,San Diego,San Diego County,CA,low risk
Bennie Frisbie,2000-12-25,192,92167,2011-04-01,1259.0,1259.0,22,San Diego,San Diego County,CA,low risk
Christian Arredondo,1971-09-15,394,92121,2010-05-01,1231.0,1231.0,51,San Diego,San Diego County,CA,low risk
Susanne Haug,1900-01-01,2191,92163,2012-01-01,1767.0,1767.0,122,San Diego,San Diego County,CA,low risk
Luanna Buchwald,1977-01-05,1468,92191,2011-10-01,1267.0,1267.0,45,San Diego,San Diego County,CA,low risk
Letty Morrison,1975-12-08,1412,92164,2012-05-01,1513.0,1513.0,47,San Diego,San Diego County,CA,low risk
Jenee Childers,1900-01-01,1088,92122,2011-12-01,1452.0,1452.0,122,San Diego,San Diego County,CA,low risk
Catherin Parisien,1971-04-23,338,92114,2012-09-01,1382.0,1382.0,51,San Diego,San Diego County,CA,low risk
Bok Leclaire,1948-02-14,226,92140,2011-03-01,2174.0,2174.0,74,San Diego,San Diego County,CA,low risk
Cletus Nitta,1978-08-03,428,92153,2011-12-01,1726.0,1726.0,44,San Diego,San Diego County,CA,low risk
Roxann Chatfield,1900-01-01,1997,92153,2010-07-02,1759.0,1759.0,122,San Diego,San Diego County,CA,low risk
Lenita Carrara,1900-01-01,1382,92106,2010-12-01,1360.0,1360.0,122,San Diego,San Diego County,CA,low risk
Bell Felkins,1900-01-01,189,92160,2011-01-01,1521.0,1521.0,122,San Diego,San Diego County,CA,low risk
Birgit Strackbein,1900-01-01,214,92194,2012-03-01,1662.0,1662.0,122,San Diego,San Diego County,CA,low risk
Ha Cornelius,1989-06-16,898,92145,2010-10-08,959.0,959.0,33,San Diego,San Diego County,CA,low risk
Gregoria Brucker,1900-01-01,887,92122,2012-04-01,1159.0,1159.0,122,San Diego,San Diego County,CA,low risk
Claudio Anson,1900-01-01,417,92139,2010-08-01,1687.0,1687.0,122,San Diego,San Diego County,CA,low risk
Adelia Terwilliger,1951-10-03,12,92121,2011-05-01,1469.0,1469.0,71,San Diego,San Diego County,CA,low risk
Laronda Humiston,1981-01-18,1327,92195,2010-10-01,1703.0,1703.0,41,San Diego,San Diego County,CA,low risk
Florrie Scranton,1967-11-12,788,92166,2011-09-01,1125.0,1125.0,55,San Diego,San Diego County,CA,low risk
Linsey Gallop,1900-01-01,1424,92103,2012-03-05,1344.0,1344.0,122,San Diego,San Diego County,CA,low risk
Catrina Constantine,1900-01-01,341,92169,2011-02-01,2079.0,2079.0,122,San Diego,San Diego County,CA,low risk
Justa Brumit,1900-01-01,1176,92170,2012-06-02,1185.0,1185.0,122,San Diego,San Diego County,CA,low risk
Yun Guimond,1900-01-01,2462,92160,2011-05-01,1461.0,1461.0,122,San Diego,San Diego County,CA,low risk
Danika Strawser,1900-01-01,487,92164,2010-11-01,1506.0,1506.0,122,San Diego,San Diego County,CA,low risk
Keenan Chung,1971-10-13,1230,92131,2011-07-01,1357.0,1357.0,51,San Diego,San Diego County,CA,low risk
Trudie Barret,1900-01-01,2329,92120,2010-11-01,1318.0,1318.0,122,San Diego,San Diego County,CA,low risk
September Vesely,1981-12-02,2062,92110,2011-02-01,1785.0,1785.0,41,San Diego,San Diego County,CA,low risk
Isabella Davisson,1972-08-19,982,92109,2011-03-01,1494.0,1494.0,50,San Diego,San Diego County,CA,low risk
Lindsey Mora,1900-01-01,1421,92169,2012-06-01,1614.0,1614.0,122,San Diego,San Diego County,CA,low risk
Eldon Wilbourn,1900-01-01,644,92167,2010-04-01,1592.0,1592.0,122,San Diego,San Diego County,CA,low risk
Milda Leick,1970-09-17,1700,92172,2010-11-01,1776.0,1776.0,52,San Diego,San Diego County,CA,low risk
Margo Zoeller,1900-01-01,1572,92104,2012-09-01,1716.0,1716.0,122,San Diego,San Diego County,CA,low risk
Tyisha Lauritsen,2016-08-17,2341,92194,2012-02-07,1378.0,1378.0,6,San Diego,San Diego County,CA,low risk
Donita Gaut,1954-02-11,598,92170,2012-09-01,1581.0,1581.0,68,San Diego,San Diego County,CA,low risk
Jennie Lofton,1900-01-01,1098,92130,2011-10-01,1615.0,1615.0,122,San Diego,San Diego County,CA,low risk
Bud Grosse,1979-04-15,261,92190,2012-02-01,1431.0,1431.0,43,San Diego,San Diego County,CA,low risk
Charla Ashe,1900-01-01,368,92176,2012-04-01,1742.0,1742.0,122,San Diego,San Diego County,CA,low risk
Franklin Bolling,1950-11-08,797,92172,2012-07-01,1370.0,1370.0,72,San Diego,San Diego County,CA,low risk
Nicolle Swigert,1984-02-05,1794,92170,2011-09-03,1780.0,1780.0,38,San Diego,San Diego County,CA,low risk
Blair Lukach,1900-01-01,215,92166,2012-02-01,751.0,751.0,122,San Diego,San Diego County,CA,low risk
Hsiu Smithwick,1966-03-19,958,92175,2010-11-06,1723.0,1723.0,56,San Diego,San Diego County,CA,low risk
Christin Svoboda,1984-09-17,395,92131,2010-03-05,1837.0,1837.0,38,San Diego,San Diego County,CA,low risk
Tracey Chrisman,1900-01-01,2314,92123,2012-04-01,1483.0,1483.0,122,San Diego,San Diego County,CA,low risk
Billye Ashford,1977-09-26,212,92192,2011-08-01,1516.0,1516.0,45,San Diego,San Diego County,CA,low risk
Lauren Bittle,1900-01-01,1348,92122,2012-04-01,1408.0,1408.0,122,San Diego,San Diego County,CA,low risk
Arthur Finnie,1900-01-01,153,92195,2012-04-01,1206.0,1206.0,122,San Diego,San Diego County,CA,low risk
