name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age
Aida Kittel,1972-11-03,26,92113,2011-03-14,875.0,796.0,50
Jettie Debord,1979-11-22,1112,92114,2010-02-01,2025.0,2025.0,43
Dann Kerwin,1966-02-22,492,92140,2010-03-01,1741.0,1741.0,56
Rocio Lukens,1900-01-01,1955,92171,2010-10-01,1172.0,1172.0,122
Dahlia Pedrick,1900-01-01,466,92196,2012-03-04,1475.0,1475.0,122
Cecila Books,1954-07-06,343,92172,2012-05-01,1191.0,1191.0,68
Roslyn Springs,1900-01-01,1993,92182,2012-08-01,2167.0,2167.0,122
Shawn Britten,1900-01-01,2096,92101,2012-08-01,1256.0,1256.0,122
Fleta Willms,1973-11-08,777,92174,2011-12-01,1361.0,1361.0,49
Mae Sarvis,1900-01-01,1518,92176,2011-09-25,1783.0,1551.0,122
Amos Penhollow,1979-01-27,83,92127,2010-03-01,1338.0,1338.0,43
Marcelino Benard,1979-12-10,1549,92152,2012-04-01,1293.0,1293.0,43
Ranee Bessler,1900-01-01,1914,92174,2012-02-01,1773.0,1773.0,122
Ryan Heng,1900-01-01,2020,92106,2011-06-01,1468.0,1468.0,122
Johnson Lovingood,1900-01-01,1138,92184,2011-10-01,1633.0,1633.0,122
Natashia Litwin,1900-01-01,1762,92130,2011-10-01,1113.0,1113.0,122
Alfred Fitzsimons,2000-02-15,47,92184,2010-11-01,1650.0,1650.0,22
Vonda Partlow,1988-10-14,2396,92121,2011-05-01,1370.0,1370.0,34
Fiona Vancamp,1900-01-01,774,92145,2011-05-01,1421.0,1421.0,122
Ardelia Bagley,1900-01-01,127,92186,2012-02-01,1156.0,1156.0,122
Carlee Gibeault,1979-03-08,298,92147,2012-06-01,1192.0,1192.0,43
Hsiu Carberry,1961-10-26,957,92139,2010-09-10,1532.0,1393.0,61
Vina Sheedy,1979-04-10,2381,92122,2010-06-01,2092.0,2092.0,43
Assunta Hebel,1989-11-24,157,92105,2012-05-24,1426.0,1240.0,33
Tamra Trisler,1900-01-01,2214,92159,2012-05-01,1261.0,1261.0,122
Milda Leick,1970-09-17,1700,92172,2010-03-01,1776.0,1776.0,52
Eduardo Paez,1951-05-13,630,92145,2012-01-01,1341.0,1341.0,71
Imelda Steere,1900-01-01,970,92174,2010-03-03,1339.0,1339.0,122
Dann Kerwin,1966-02-22,492,92140,2012-02-05,1741.0,1741.0,56
Tequila Magee,1969-01-23,2241,92175,2010-05-01,1264.0,1264.0,53
Sammy Piedra,1939-10-12,2039,92162,2011-03-08,1234.0,1234.0,83
Jasper Vanleer,1900-01-01,1062,92119,2011-02-01,1591.0,1591.0,122
Bobbie Glanton,1900-01-01,224,92177,2012-02-03,1462.0,1462.0,122
Emmanuel Fleisher,1900-01-01,700,92102,2011-04-01,1893.0,1893.0,122
Adrian Moe,1947-09-23,15,92184,2012-03-01,1363.0,1363.0,75
Jenee Lillie,1900-01-01,1089,92153,2010-11-01,2057.0,2057.0,122
Debbie Holley,1900-01-01,531,92134,2012-07-01,1458.0,1458.0,122
Bobbie Glanton,1900-01-01,224,92177,2011-06-03,1462.0,1462.0,122
Sudie Galante,1957-05-08,2183,92105,2011-08-11,1328.0,1208.0,65
Ferdinand Thoman,1981-09-08,763,92116,2010-04-01,2014.0,2014.0,41
Lynnette Menzie,1900-01-01,1500,92102,2012-07-08,1437.0,1437.0,122
Bernetta Baeza,1978-11-16,197,92155,2011-04-15,1615.0,1469.0,44
Camila Mess,1973-06-01,279,92149,2010-03-01,1824.0,1824.0,49
Vina Danford,1900-01-01,2380,92187,2011-03-01,1812.0,1812.0,122
Morris Poage,1900-01-01,1730,92137,2010-02-01,1617.0,1617.0,122
Nanette Burbank,1985-04-13,1752,92106,2012-08-01,1948.0,1948.0,37
Tessa Humbert,1969-04-15,2254,92103,2011-04-01,1355.0,1355.0,53
Leann Maker,1900-01-01,1364,92187,2010-06-01,1774.0,1774.0,122
Inge Campion,1900-01-01,973,92192,2010-08-01,1828.0,1828.0,122
Denyse Kung,1900-01-01,564,92112,2012-07-01,1485.0,1485.0,122
Gay Botelho,1977-07-08,816,92196,2011-08-06,1818.0,1818.0,45
Sharron Frizzell,1900-01-01,2094,92195,2010-12-01,824.0,824.0,122
Nubia Wikoff,1900-01-01,1822,92114,2011-12-01,1666.0,1666.0,122
Latricia Bartholow,1969-09-05,1343,92131,2010-03-01,1464.0,1464.0,53
Mariette Frink,1900-01-01,1587,92116,2011-02-10,2126.0,1933.0,122
Alline Jezierski,1900-01-01,60,92124,2011-11-01,1572.0,1572.0,122
Georgianne Edlund,1900-01-01,836,92171,2012-01-02,1698.0,1698.0,122
Darron Spagnuolo,1900-01-01,513,92119,2012-09-01,1843.0,1843.0,122
Myrl Scudder,1900-01-01,1740,92131,2010-05-01,1324.0,1324.0,122
Ciera Riss,1900-01-01,400,92150,2012-04-01,1500.0,1500.0,122
Ahmad Eakin,1900-01-01,23,92186,2010-03-01,1411.0,1411.0,122
Margarette Neitzel,1900-01-01,1564,92177,2012-01-05,1351.0,1351.0,122
Booker Gadberry,1900-01-01,227,92149,2012-03-01,1567.0,1567.0,122
Vanessa Marty,1900-01-01,2359,92195,2011-07-01,2178.0,2178.0,122
Krystina Hills,2001-07-16,1286,92132,2011-04-01,1610.0,1610.0,21
Tamisha Trumbull,2002-02-02,2209,92174,2010-05-01,1505.0,1505.0,20
Isaiah Clayton,1900-01-01,985,92166,2012-05-01,1854.0,1854.0,122
Jacinto Ellsworth,1900-01-01,1000,92168,2012-05-01,1598.0,1598.0,122
Odelia Dugan,1995-04-18,1830,92190,2010-06-01,1290.0,1290.0,27
Beverley Lister,1980-09-17,210,92168,2010-11-01,1149.0,1149.0,42
Kimberely Stlouis,1900-01-01,1254,92136,2012-06-10,1543.0,1403.0,122
Martha Rocha,1980-05-06,1616,92140,2011-09-01,1533.0,1533.0,42
Eloisa Rockett,1900-01-01,672,92108,2010-11-03,-196.95,1313.0,122
Sadie Wallis,1900-01-01,2031,92132,2011-12-01,2098.0,1825.0,122
Kyle Voyles,1946-03-13,1297,92169,2011-02-01,1257.0,1257.0,76
Josue Baden,1987-07-21,1160,92112,2010-09-01,1903.0,1903.0,35
Ignacio Piel,1951-06-27,968,92119,2010-12-01,1587.0,1587.0,71
Peter Hurley,1980-12-04,1885,92165,2011-07-02,1133.0,1133.0,42
Carmella Buchanan,1996-12-09,312,92115,2011-05-31,1566.0,1362.0,26
Delfina Snider,1900-01-01,538,92195,2011-04-16,1710.0,1555.0,122
Salvatore Brannon,1900-01-01,2034,92109,2011-05-01,1179.0,1179.0,122
Karine Moody,1900-01-01,1194,92197,2011-07-08,1478.0,1478.0,122
Brice Mahaney,1984-04-20,245,92171,2010-02-01,1626.0,1626.0,38
Treasa Island,1976-08-21,2319,92115,2012-01-05,1686.0,1686.0,46
Pedro States,1900-01-01,1877,92186,2011-08-01,1478.0,1478.0,122
Alfonzo Pilger,1900-01-01,46,92199,2012-09-03,1712.0,1712.0,122
Antoinette Belding,1982-09-26,120,92128,2010-11-01,825.0,825.0,40
Rupert Hutchings,1997-06-25,2011,92177,2010-12-04,1405.0,1405.0,25
Lauren Bittle,1900-01-01,1348,92122,2011-06-01,1408.0,1408.0,122
Tomika Sylvestre,1968-09-20,2290,92133,2011-12-02,1853.0,1483.0,54
Marleen Thibodeaux,1995-09-04,1605,92147,2011-11-01,1514.0,1514.0,27
Haywood Weidenbach,1900-01-01,923,92162,2010-03-25,1491.0,1297.0,122
Jesus Bedoya,1900-01-01,1111,92198,2012-08-05,1238.0,1238.0,122
Giuseppina Schamber,1900-01-01,865,92165,2011-01-01,1645.0,1645.0,122
Beryl Frison,1966-06-26,201,92117,2011-03-01,1521.0,1521.0,56
Harland Liggins,1983-11-28,910,92194,2010-05-01,1978.0,1978.0,39
Cierra Liakos,1966-11-04,401,92129,2011-04-01,1351.0,1351.0,56
Johanna Philpot,1992-07-25,1130,92196,2010-07-01,1244.0,1244.0,30
Rodger You,1900-01-01,1957,92164,2011-03-01,1401.0,1401.0,122
Magali Leveque,1959-05-14,1520,92110,2010-12-01,1876.0,1876.0,63
Carie Croston,1900-01-01,297,92111,2012-07-01,1459.0,1459.0,122
Wei Losh,1968-04-10,2414,92182,2011-01-01,1539.0,1539.0,54
Larae Netherland,1900-01-01,1323,92155,2012-10-04,1125.0,900.0,122
Noreen Kerschner,1975-02-20,1812,92139,2012-06-21,1591.0,1384.0,47
Alice Wehling,1973-04-14,53,92112,2012-06-01,1685.0,1685.0,49
Nickole Compton,2000-10-06,1789,92166,2010-08-01,-249.15,1661.0,22
Lorriane Lowry,1900-01-01,1457,92193,2011-08-01,1792.0,1792.0,122
Corie Grove,1900-01-01,447,92128,2012-09-02,1255.0,1004.0,122
Kyle Voyles,1946-03-13,1297,92169,2011-10-01,1257.0,1257.0,76
Quinn Westfall,1960-08-06,1903,92194,2012-04-01,1578.0,1578.0,62
Jacinto Calcote,2017-06-11,999,92161,2010-05-04,2243.0,1795.0,5
Beverlee Vail,1955-09-17,209,92154,2011-06-01,1754.0,1754.0,67
Ngoc Milner,1959-08-02,1781,92108,2010-05-08,2193.0,1755.0,63
Tamiko Seago,2015-03-04,2208,92145,2012-05-06,1074.0,1074.0,7
Tawanna Porath,1900-01-01,2229,92113,2011-09-01,1646.0,1646.0,122
Nathaniel Prahl,1900-01-01,1767,92110,2011-11-23,1444.0,1256.0,122
Armando Bilger,1900-01-01,149,92121,2011-11-10,1777.0,1616.0,122
Larisa Engelhardt,1900-01-01,1324,92192,2012-06-01,1986.0,1986.0,122
Iva Bizzell,1964-08-03,990,92154,2012-06-01,1306.0,1306.0,58
Burton Hyden,1972-04-28,268,92132,2010-09-09,856.0,779.0,50
Somer Chapman,1996-10-07,2152,92111,2012-06-01,1428.0,1428.0,26
Reita Evett,1900-01-01,1930,92193,2012-09-01,1715.0,1715.0,122
Tora Scheffel,1979-11-27,2307,92176,2010-09-01,1185.0,1185.0,43
Naoma Pylant,1954-07-22,1757,92134,2010-06-01,1275.0,1275.0,68
Racquel Jimenez,1983-11-06,1905,92119,2011-07-01,1301.0,1301.0,39
Donita Gaut,1954-02-11,598,92170,2012-09-01,1581.0,1581.0,68
Queen Heideman,1981-05-21,1900,92132,2012-02-01,1305.0,1305.0,41
Larae Balcom,1900-01-01,1320,92153,2011-11-14,1816.0,1651.0,122
Naida Folsom,1900-01-01,1746,92150,2011-07-01,1069.0,1069.0,122
Tonie Hossain,1900-01-01,2301,92187,2011-11-01,1770.0,1770.0,122
Holli Gilliard,1992-03-21,944,92197,2012-01-01,1768.0,1768.0,30
Marielle Pinnix,1988-10-16,1584,92199,2010-04-02,1356.0,1356.0,34
Mirella Cardinal,1900-01-01,1713,92194,2010-08-11,1720.0,1564.0,122
Tammie Beggs,1900-01-01,2210,92172,2010-10-01,1499.0,1499.0,122
Giuseppina Schamber,1900-01-01,865,92165,2010-11-01,1645.0,1645.0,122
Sherry Chaplin,1900-01-01,2126,92137,2010-07-01,1762.0,1762.0,122
Georgette Helmers,1953-09-05,833,92112,2012-09-08,1729.0,1729.0,69
Nicolle Swigert,1984-02-05,1794,92170,2012-06-06,1780.0,1780.0,38
Corie Grove,1900-01-01,447,92128,2012-07-06,1255.0,1004.0,122
Noreen Porras,1989-08-09,1815,92132,2010-04-03,1961.0,1961.0,33
Dewayne Maffucci,1992-11-21,574,92138,2011-01-01,1124.0,1124.0,30
Shawnda Damron,1900-01-01,2097,92102,2011-11-01,1704.0,1704.0,122
Sonny Hayslip,1982-08-26,2160,92168,2012-02-11,1684.0,1531.0,40
Vincenzo Allsup,2001-03-06,2386,92196,2011-06-30,1202.0,1046.0,21
Somer Chapman,1996-10-07,2152,92111,2012-05-01,1428.0,1428.0,26
Mayme Graybill,1900-01-01,1646,92184,2012-09-01,1516.0,1516.0,122
Blair Schroder,1973-08-01,217,92107,2012-09-10,1475.0,1341.0,49
Mellisa Bolanos,1900-01-01,1660,92163,2011-12-01,1330.0,1330.0,122
Leonila Solorzano,1900-01-01,1398,92134,2011-09-01,1940.0,1940.0,122
Bruna Stearns,2010-11-18,252,92190,2011-06-01,1576.0,1576.0,12
Kirstin Greenleaf,1970-04-10,1266,92133,2011-02-01,1344.0,1344.0,52
Darin Greenwald,1997-12-21,508,92166,2012-05-01,1278.0,1278.0,25
Demarcus Edler,1987-05-15,555,92123,2012-06-01,1622.0,1622.0,35
Marshall Fosdick,1900-01-01,1615,92135,2011-03-03,2087.0,2087.0,122
Eldon Reiss,1900-01-01,643,92135,2010-08-01,1432.0,1432.0,122
Grayce Venuti,1900-01-01,880,92152,2012-09-02,0.0,1856.0,122
Valeria Banerjee,1900-01-01,2353,92137,2012-08-01,1586.0,1586.0,122
Ramonita Mathewson,1900-01-01,1911,92139,2011-07-05,1652.0,1652.0,122
Shanel Sproles,1976-01-17,2073,92113,2010-04-01,1739.0,1739.0,46
Gema Gomer,1900-01-01,822,92195,2011-04-01,1016.0,1016.0,122
Annamaria Weatherholt,1900-01-01,111,92135,2011-06-10,1526.0,1388.0,122
Stella Despain,1900-01-01,2176,92153,2011-06-09,1282.0,1166.0,122
Yong Wurth,1992-04-14,2458,92154,2011-07-01,1587.0,1587.0,30
Fe Ditch,1900-01-01,757,92158,2010-06-01,1244.0,1244.0,122
Angelika Lamorte,1900-01-01,96,92129,2012-08-01,1103.0,1103.0,122
Ewa Newton,1975-07-20,751,92193,2010-11-01,1599.0,1599.0,47
Nereida Dycus,1991-04-28,1774,92109,2011-02-02,1554.0,1554.0,31
India Linehan,1963-03-06,972,92122,2011-11-01,1004.0,1004.0,59
Perry Bach,1900-01-01,1882,92194,2012-05-01,1577.0,1577.0,122
Wendie Urman,1900-01-01,2418,92123,2010-09-01,1667.0,1667.0,122
Krystal Dombrosky,1900-01-01,1283,92130,2011-09-01,1614.0,1614.0,122
Darby Santana,1900-01-01,502,92165,2012-07-01,1307.0,1307.0,122
Latricia Bartholow,1969-09-05,1343,92131,2011-06-02,1464.0,1464.0,53
Penelope Alarcon,1900-01-01,1879,92169,2010-08-04,1205.0,1205.0,122
Sharda Weld,1989-12-01,2086,92133,2011-10-11,2792.0,2234.0,33
Dahlia Quade,1900-01-01,467,92198,2010-04-01,1566.0,1566.0,122
Stacee Lamarche,1900-01-01,2167,92154,2010-09-01,1910.0,1910.0,122
Alice Summerford,1971-07-02,52,92101,2011-12-01,1026.0,1026.0,51
Kesha Cesar,1900-01-01,1246,92159,2011-07-01,1063.0,1063.0,122
Dannie Hallam,1900-01-01,490,92167,2012-06-18,1996.0,1736.0,122
Hyo Seng,1900-01-01,964,92106,2012-08-01,1600.0,1600.0,122
Darcie Gandhi,1983-08-28,505,92153,2012-06-01,2040.0,2040.0,39
Edison Laymon,1968-11-28,623,92111,2011-07-01,1383.0,1383.0,54
Herlinda Denk,1973-03-28,934,92131,2010-11-01,1864.0,1864.0,49
Roscoe Moskowitz,1900-01-01,1985,92161,2011-09-01,1365.0,1365.0,122
Steve Mcgirt,1963-06-22,2181,92123,2012-09-05,1936.0,1936.0,59
Norberto Lamphere,1971-02-11,1811,92163,2010-02-01,1743.0,1743.0,51
Kisha Macias,1977-03-12,1267,92199,2010-05-01,1342.0,1342.0,45
Tyson Delorenzo,1986-12-27,2345,92140,2010-09-01,1378.0,1378.0,36
Danika Strawser,1900-01-01,487,92164,2011-02-03,1506.0,1506.0,122
Anamaria Tutt,1900-01-01,89,92115,2011-09-01,1666.0,1666.0,122
Kylie Beumer,1900-01-01,1299,92171,2010-12-01,1687.0,1687.0,122
Xavier Mennella,1900-01-01,2439,92119,2011-03-01,1327.0,1327.0,122
Alejandra Foti,1900-01-01,40,92132,2011-08-01,1192.0,1192.0,122
Leif Ogburn,1968-04-23,1372,92139,2010-02-01,0.0,928.0,54
Tresa Herandez,1980-06-13,2322,92135,2011-11-01,1815.0,1815.0,42
Ferdinand Thoman,1981-09-08,763,92116,2010-12-01,2014.0,2014.0,41
Kizzy Finkbeiner,1967-11-22,1271,92176,2011-08-02,1369.0,1369.0,55
Annamae Slayton,1900-01-01,110,92174,2010-03-11,1370.0,1246.0,122
Audry Talarico,1962-07-09,161,92116,2010-11-01,1195.0,1195.0,60
Wilford Mackin,1965-01-04,2421,92158,2010-03-01,1376.0,1376.0,57
Cindy Poovey,1900-01-01,403,92105,2012-05-01,1391.0,1391.0,122
Betsey Son,1980-08-15,205,92162,2011-02-01,1560.0,1560.0,42
Monique Tonkin,1976-08-26,1727,92184,2011-04-04,1521.0,1521.0,46
Tennille Crunk,1976-10-19,2238,92176,2012-08-01,2151.0,2151.0,46
Lorenza Holdridge,1947-02-03,1449,92194,2012-04-06,1805.0,1805.0,75
Dorla Bogart,1979-04-09,602,92155,2011-08-01,1888.0,1888.0,43
Nickie Weatherly,1978-12-07,1788,92193,2011-03-01,921.0,921.0,44
Lavone Witter,1983-06-10,1353,92165,2011-07-01,1863.0,1863.0,39
Walton Talmadge,1900-01-01,2403,92136,2010-12-01,1922.0,1922.0,122
Bryant Kovar,1971-07-09,256,92102,2010-12-01,898.0,898.0,51
Minta Carroway,1900-01-01,1707,92122,2011-11-04,1702.0,1702.0,122
Leo Moorhouse,1900-01-01,1392,92147,2012-07-01,1132.0,1132.0,122
Chana Furniss,1900-01-01,354,92163,2010-06-01,998.0,998.0,122
Joselyn Plattner,1977-02-01,1153,92113,2011-10-01,1720.0,1720.0,45
Alice Summerford,1971-07-02,51,92192,2010-02-01,1429.0,1429.0,51
Marina Pankey,1964-01-06,1596,92147,2011-06-01,825.0,825.0,58
Stacie Lawler,1900-01-01,2170,92126,2011-03-01,1495.0,1495.0,122
Michelina Granderson,1900-01-01,1688,92115,2012-05-05,1483.0,1483.0,122
Spring Ponce,1900-01-01,2166,92110,2011-11-01,1034.0,1034.0,122
Edna Kemplin,1900-01-01,629,92145,2011-04-01,1706.0,1706.0,122
Somer Chapman,1996-10-07,2152,92111,2012-08-01,1428.0,1428.0,26
Jared Cobble,1979-01-11,1052,92175,2011-04-01,1506.0,1506.0,43
Jaymie Manzanares,1900-01-01,1069,92117,2012-05-01,1626.0,1626.0,122
Talia Boehman,1980-12-09,2201,92152,2011-06-01,1038.0,1038.0,42
Blanche Bugarin,1991-09-03,221,92199,2012-05-01,1531.0,1531.0,31
Carolyn Witmer,1965-10-04,329,92120,2012-04-09,1794.0,1631.0,57
Nydia Telesco,1900-01-01,1823,92109,2011-04-12,1617.0,1470.0,122
Tricia Kennan,1900-01-01,2325,92101,2010-04-04,1658.0,1658.0,122
Jess Arter,1900-01-01,1107,92137,2012-03-05,1307.0,1307.0,122
Reanna Chouinard,1900-01-01,1923,92153,2011-06-01,1218.0,1218.0,122
Shanda Wyche,1964-08-20,2069,92105,2010-11-01,1544.0,1544.0,58
Jerilyn Dunson,1900-01-01,1101,92128,2012-03-01,1669.0,1669.0,122
Dolores Segundo,1979-11-26,589,92111,2011-04-01,2006.0,2006.0,43
Miriam Laroque,1983-07-28,1715,92159,2010-12-01,1502.0,1502.0,39
Wendell Blackmer,1977-06-14,2417,92164,2011-05-03,0.0,1688.0,45
Alice Wehling,1973-04-14,53,92112,2011-06-01,1685.0,1685.0,49
Edyth Rhee,1900-01-01,633,92124,2012-07-06,1531.0,1531.0,122
Callie Kulinski,1900-01-01,275,92104,2012-08-01,1770.0,1770.0,122
Mitchell Tafolla,1900-01-01,1719,92158,2010-09-01,1061.0,1061.0,122
Reita Evett,1900-01-01,1930,92193,2012-03-01,1715.0,1715.0,122
Karole Carignan,1900-01-01,1198,92138,2010-08-01,894.0,894.0,122
Irene Mendoza,1900-01-01,977,92166,2011-06-02,1502.0,1502.0,122
Mae Sarvis,1900-01-01,1518,92176,2012-01-10,1706.0,1551.0,122
Irmgard Owsley,1976-07-21,980,92170,2010-11-01,1620.0,1620.0,46
Yer Avey,1981-08-05,2449,92129,2012-03-01,1308.0,1308.0,41
Jasmin Bryden,1999-05-25,1057,92114,2011-10-01,1361.0,1361.0,23
Tammy Jone,1981-05-10,2211,92120,2010-05-01,1490.0,1490.0,41
Darren Tucker,1974-01-20,511,92101,2012-01-01,1756.0,1756.0,48
Deloris Meiners,1978-02-24,547,92114,2011-06-01,1466.0,1466.0,44
Isabella Davisson,1972-08-19,982,92109,2012-01-03,1494.0,1494.0,50
Chong Nalls,1978-10-01,391,92176,2011-12-01,1454.0,1454.0,44
Carlo Harrelson,1900-01-01,304,92194,2011-05-01,1642.0,1642.0,122
Randi Keppler,1900-01-01,1912,92163,2012-01-03,1346.0,1346.0,122
Carl Hickerson,1950-08-13,300,92198,2011-07-01,1697.0,1697.0,72
Jodee Grimsley,1987-04-15,1121,92165,2011-03-01,1186.0,1186.0,35
Zofia Bilodeau,2004-09-28,2468,92124,2012-01-06,1665.0,1665.0,18
Johnetta Hertzog,1985-02-01,1135,92192,2011-02-01,1713.0,1713.0,37
Robyn Rickett,1900-01-01,1954,92130,2011-02-01,1845.0,1845.0,122
Nobuko Rodda,2011-11-10,1804,92137,2010-02-01,1267.0,1267.0,11
Clemente Gingerich,1900-01-01,420,92108,2012-09-01,1484.0,1484.0,122
Jina Ling,1984-10-25,1116,92108,2010-04-02,1740.0,1740.0,38
Brynn Portis,1900-01-01,258,92109,2012-02-01,1329.0,1329.0,122
Jenee Childers,1900-01-01,1088,92122,2012-04-01,1452.0,1452.0,122
Santiago Demaria,1979-08-08,2051,92128,2011-09-01,2003.0,2003.0,43
Irmgard Owsley,1976-07-21,980,92170,2011-06-01,1620.0,1620.0,46
Shayla Hockensmith,1900-01-01,2105,92163,2012-05-01,1355.0,1355.0,122
Leonor Paquin,1900-01-01,1399,92152,2010-09-01,1798.0,1798.0,122
Damian Rhines,1900-01-01,473,92168,2012-03-01,1122.0,1122.0,122
Greg Boldt,1900-01-01,881,92116,2010-09-01,1603.0,1603.0,122
Vinnie Stull,1900-01-01,2387,92114,2012-05-01,1216.0,1216.0,122
Jackson Noland,2007-07-11,1003,92150,2010-07-01,1478.0,1478.0,15
Romana Buscher,1973-04-27,1961,92139,2012-07-19,672.0,585.0,49
Betsey Son,1980-08-15,205,92162,2010-04-01,1560.0,1560.0,42
Sharron Frizzell,1900-01-01,2094,92195,2012-07-01,824.0,824.0,122
Cory Savage,1984-08-18,454,92117,2010-09-01,1750.0,1750.0,38
Jesse Doonan,1980-02-07,1108,92170,2012-03-15,1949.0,1772.0,42
Queen Hy,1900-01-01,1901,92155,2012-01-01,1274.0,1274.0,122
Daniela Cairns,1900-01-01,483,92169,2010-09-01,1201.0,1201.0,122
Trenton Gunning,1900-01-01,2321,92121,2012-02-01,2176.0,2176.0,122
Devin Roden,1900-01-01,573,92145,2012-09-09,1487.0,1352.0,122
Emelina Phalen,1900-01-01,683,92120,2011-09-01,1555.0,1555.0,122
Ramonita Mathewson,1900-01-01,1911,92139,2010-03-02,1652.0,1652.0,122
Tequila Sarro,1961-08-10,2242,92119,2012-05-01,1566.0,1566.0,61
Toya Mohammed,1900-01-01,2311,92169,2011-03-01,1340.0,1340.0,122
Alica Lomax,1973-06-23,50,92130,2011-04-01,1335.0,1335.0,49
Beverley Lister,1980-09-17,210,92168,2012-07-02,1149.0,1149.0,42
Signe Graney,1900-01-01,2144,92162,2012-09-01,1394.0,1394.0,122
Claretta Carasco,1964-11-25,409,92170,2012-02-06,1544.0,1544.0,58
Wei Losh,1968-04-10,2414,92182,2010-10-01,1539.0,1539.0,54
Alvin Bise,1984-04-23,74,92133,2012-05-01,1741.0,1741.0,38
Cherilyn Kelsey,1988-04-13,382,92108,2011-03-01,1515.0,1515.0,34
Jasper Vanleer,1900-01-01,1062,92119,2012-03-01,1591.0,1591.0,122
Franklin Scrivens,1995-02-19,800,92195,2010-07-01,1667.0,1667.0,27
Marni Lomanto,1900-01-01,1613,92175,2010-07-01,1255.0,1255.0,122
Timmy Baumer,1991-05-20,2276,92114,2010-09-01,1260.0,1260.0,31
Tamesha Florez,1967-08-17,2206,92115,2011-11-01,1967.0,1967.0,55
Leanne Lewison,1961-06-05,1362,92192,2010-05-01,1786.0,1786.0,61
Micki Belvin,1900-01-01,1690,92139,2011-03-01,1912.0,1912.0,122
Jazmine Kittel,1900-01-01,1073,92175,2012-08-01,1260.0,1260.0,122
Cheri Kennon,1950-07-01,381,92136,2012-03-01,1564.0,1564.0,72
Rudy Stirling,2005-04-02,2008,92136,2010-08-01,1362.0,1362.0,17
Winford Weiler,1900-01-01,2438,92145,2011-04-03,1654.0,1654.0,122
David Hyre,1974-11-14,516,92104,2010-10-01,1489.0,1489.0,48
Jared Cobble,1979-01-11,1053,92128,2012-03-07,1665.0,1665.0,43
Luisa Robb,1900-01-01,1485,92174,2011-08-01,1163.0,1163.0,122
Fidel Harrelson,1986-05-28,773,92170,2012-07-09,1933.0,1758.0,36
Ismael Egli,1965-12-12,988,92113,2010-04-01,1022.0,1022.0,57
Kayla Stwart,1986-05-17,1223,92117,2012-02-09,1866.0,1697.0,36
Diamond Ohman,1900-01-01,576,92136,2011-11-01,2061.0,2061.0,122
Karmen Kuhlman,1900-01-01,1197,92176,2010-12-15,1632.0,1484.0,122
Dawn Nicely,1900-01-01,520,92169,2010-03-01,1835.0,1835.0,122
Branda Pittman,1900-01-01,237,92167,2012-07-02,1368.0,1368.0,122
Elly Escamilla,1970-04-11,668,92126,2010-07-01,1994.0,1994.0,52
Elidia Despain,1960-02-08,658,92124,2011-07-05,1943.0,1943.0,62
Charlette Villeda,1993-01-04,370,92145,2010-06-01,1516.0,1516.0,29
Eden Tibbals,1996-02-25,622,92134,2011-07-01,1672.0,1672.0,26
Susie Weekly,1900-01-01,2193,92103,2011-11-01,1335.0,1335.0,122
Von Slayton,1900-01-01,2398,92108,2010-05-01,1493.0,1493.0,122
Merlene Beumer,1900-01-01,1669,92101,2010-07-05,1524.0,1524.0,122
Brigitte Prom,1900-01-01,246,92164,2012-09-01,1743.0,1743.0,122
Dorthea Tarry,1973-05-08,606,92133,2010-03-01,1054.0,1054.0,49
Edith Couto,1972-11-23,624,92175,2010-12-01,1283.0,1283.0,50
Margery Singleterry,1900-01-01,1570,92167,2011-02-06,1288.0,1288.0,122
Daniell Blasi,1972-08-09,485,92182,2011-12-01,1745.0,1745.0,50
Karine Moody,1900-01-01,1194,92197,2010-07-05,1478.0,1478.0,122
Vincenza Conant,1900-01-01,2384,92158,2011-01-01,965.0,965.0,122
Tommy Coppock,1971-02-02,2291,92110,2011-12-02,1754.0,1754.0,51
Muriel Shorey,1900-01-01,1734,92138,2012-04-01,1508.0,1508.0,122
Bruna Spada,2006-05-06,251,92116,2012-08-03,1285.0,1285.0,16
Gwenda Morocco,1996-07-23,893,92103,2011-07-04,1463.0,1463.0,26
Rudy Stirling,2005-04-02,2008,92136,2011-09-01,1362.0,1362.0,17
Janita Noss,1975-03-17,1046,92154,2010-10-01,1343.0,1343.0,47
Darin Greenwald,1997-12-21,508,92166,2011-04-01,1278.0,1278.0,25
Gemma Sala,1970-10-24,825,92192,2010-08-01,1636.0,1636.0,52
Margurite Talley,1900-01-01,1573,92170,2010-07-08,1501.0,1501.0,122
Vergie Lehto,1996-11-08,2366,92193,2010-09-03,-291.75,1945.0,26
Shalonda Kerns,1900-01-01,2067,92187,2012-01-07,1499.0,1499.0,122
Carol Dacosta,1987-07-05,317,92150,2010-02-01,1446.0,1446.0,35
Jerrica Folden,1977-10-07,1105,92119,2010-02-01,1847.0,1847.0,45
Kyoko Khalil,1900-01-01,1301,92136,2012-04-01,0.0,1820.0,122
Cheri Kennon,1950-07-01,381,92136,2012-01-01,1564.0,1564.0,72
Rina Ennals,1981-04-27,1948,92124,2012-02-04,1341.0,1341.0,41
Louise Fairless,1955-03-26,1459,92135,2010-04-01,1580.0,1580.0,67
Vincent Darcangelo,1966-03-19,2382,92165,2011-04-01,1583.0,1583.0,56
