name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age,city,county,lat,lng,housingUnits,occupiedHousingUnits,medianIncome,population,state,status
Collin Godby,1900-01-01,443,92107,1,1625.0,1625.0,122,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Edna Kemplin,1900-01-01,629,92145,1,1706.0,1706.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Sylvester Um,1977-05-09,2196,92104,1,1947.0,1947.0,45,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Debroah Morlan,1900-01-01,534,92122,1,1776.0,1776.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Shanda Wyche,1964-08-20,2069,92105,1,1544.0,1544.0,58,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Nubia Blassingame,1988-04-08,1820,92154,1,1524.0,1524.0,34,San Diego,San Diego County,32.6,-117.0,21206.0,20202.0,57618.0,79708.0,CA,low risk
Jaymie Manzanares,1900-01-01,1069,92117,1,1626.0,1626.0,122,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Nery Villafana,1980-04-19,1775,92101,1,1902.0,1902.0,42,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Delana Fino,1981-01-17,537,92126,1,1412.0,1412.0,41,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Vernia Coloma,1900-01-01,2370,92105,1,1663.0,1663.0,122,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Chad Tsan,1900-01-01,353,92122,1,1217.0,1217.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Huong Lack,1900-01-01,959,92109,1,1455.0,1455.0,122,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Krystal Dombrosky,1900-01-01,1283,92130,1,1614.0,1614.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Gerard Jones,1900-01-01,838,92105,1,1431.0,1431.0,122,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Shanika Harlow,1994-06-13,2076,92113,1,1257.0,1257.0,28,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Alden Vandever,1900-01-01,38,92124,1,1525.0,1525.0,122,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Devin Roden,1900-01-01,573,92145,1,1352.0,1352.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Danny Charland,1989-04-28,494,92108,1,1333.0,1333.0,33,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Verdie Domingo,1975-12-15,2363,92124,1,1634.0,1634.0,47,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Jenny Magby,1973-01-26,1099,92145,1,1427.0,1427.0,49,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Cierra Liakos,1966-11-04,401,92129,1,1351.0,1351.0,56,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Nubia Blassingame,1988-04-08,1820,92154,1,1524.0,1524.0,34,San Diego,San Diego County,32.6,-117.0,21206.0,20202.0,57618.0,79708.0,CA,low risk
Lennie Schoonover,1900-01-01,1386,92130,1,1489.0,1489.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Alva Guadarrama,1989-10-11,69,92119,1,1948.0,1948.0,33,San Diego,San Diego County,32.81,-117.03,9853.0,9537.0,67616.0,23057.0,CA,low risk
Evelynn Merkley,1900-01-01,748,92116,1,1312.0,1312.0,122,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Clifford Hammersley,2008-08-09,429,92114,1,1354.0,1354.0,14,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Roselyn Richerson,1900-01-01,1988,92115,1,1734.0,1734.0,122,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Rosalinda Faires,1975-01-14,1973,92139,1,1720.0,1720.0,47,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Malorie Bartsch,1970-07-26,1545,92111,1,1402.0,1402.0,52,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Zaida Koepke,1965-01-08,2467,92109,1,1436.0,1436.0,57,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Floria Dave,1950-07-02,783,92114,1,1977.0,1977.0,72,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Jame Metzer,1900-01-01,1022,92109,1,1292.0,1292.0,122,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Demarcus Edler,1987-05-15,555,92123,1,1622.0,1622.0,35,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Darren Tucker,1974-01-20,511,92101,1,1756.0,1756.0,48,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Shantae Bewley,1969-10-10,2082,92111,1,1008.0,1008.0,53,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Antonina Sokolowski,1900-01-01,123,92108,1,1293.0,1293.0,122,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Lauran Thacker,1900-01-01,1347,92102,1,768.0,768.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Annabell Roll,1900-01-01,107,92126,1,1526.0,1526.0,122,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Meghan Poynter,1976-05-20,1652,92129,1,1767.0,1767.0,46,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Xavier Mennella,1900-01-01,2439,92119,1,1327.0,1327.0,122,San Diego,San Diego County,32.81,-117.03,9853.0,9537.0,67616.0,23057.0,CA,low risk
Jeannette Bartels,1900-01-01,1082,92145,1,1500.0,1500.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Steve Mcgirt,1963-06-22,2180,92123,1,1080.0,1080.0,59,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Tobias Zirkind,1900-01-01,2286,92130,1,1109.0,1109.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Clifton Ellwood,1993-11-02,430,92103,1,1233.0,1233.0,29,San Diego,San Diego County,32.75,-117.17,19080.0,17827.0,62092.0,31066.0,CA,low risk
Chad Tsan,1900-01-01,353,92122,1,1217.0,1217.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Tawny Lipsey,1984-12-08,2231,92139,1,1356.0,1356.0,38,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Arlyne Acy,1987-12-18,144,92103,1,1889.0,1889.0,35,San Diego,San Diego County,32.75,-117.17,19080.0,17827.0,62092.0,31066.0,CA,low risk
Alba Resnick,1983-09-07,31,92104,1,666.0,666.0,39,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Brain Cassity,1986-06-22,236,92101,1,1408.0,1408.0,36,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Miki Harnage,1900-01-01,1698,92129,1,1460.0,1460.0,122,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Malcolm Casali,1980-08-12,1540,92101,1,885.0,885.0,42,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Letisha Bishop,1900-01-01,1407,92145,1,1305.0,1305.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Elwanda Saver,2007-06-07,680,92122,1,1628.0,1628.0,15,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Erik Gullett,1954-11-03,710,92122,1,1322.0,1322.0,68,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Douglas Halbrook,1900-01-01,609,92107,1,1866.0,1866.0,122,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Chelsie Brewton,1973-03-08,377,92124,1,1297.0,1297.0,49,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Sharri Lipson,1900-01-01,2093,92129,1,1175.0,1175.0,122,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Anisa Gammill,1981-12-15,104,92116,1,1524.0,1524.0,41,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Matha Barkan,1983-06-19,1638,92107,1,1784.0,1784.0,39,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Fumiko Puterbaugh,1900-01-01,810,92129,1,1900.0,1900.0,122,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Eldridge Mccarver,1900-01-01,646,92120,1,784.0,784.0,122,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Paulina Lefort,1970-05-22,1869,92129,1,1324.0,1324.0,52,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Cindy Poovey,1900-01-01,403,92105,1,1391.0,1391.0,122,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Johana Ozment,2013-03-02,1128,92129,1,1480.0,1480.0,9,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Julissa Sandlin,1972-01-18,1175,92121,1,1771.0,1771.0,50,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Bambi Leppert,1961-05-14,178,92109,1,1602.0,1602.0,61,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Tomoko Wrede,1900-01-01,2294,92126,1,1528.0,1528.0,122,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Rosalie Zuber,1900-01-01,1971,92129,1,901.0,901.0,122,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Chelsie Brewton,1973-03-08,377,92124,1,1297.0,1297.0,49,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Eneida Cheatwood,1900-01-01,703,92103,1,2044.0,2044.0,122,San Diego,San Diego County,32.75,-117.17,19080.0,17827.0,62092.0,31066.0,CA,low risk
Joselyn Plattner,1977-02-01,1153,92113,1,1720.0,1720.0,45,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Tricia Kennan,1900-01-01,2325,92101,1,1658.0,1658.0,122,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
David Hyre,1974-11-14,516,92104,1,1489.0,1489.0,48,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Clemmie Lawrence,1958-08-15,422,92111,1,1171.0,1171.0,64,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Clay Barrington,1900-01-01,419,92103,1,1190.0,1190.0,122,San Diego,San Diego County,32.75,-117.17,19080.0,17827.0,62092.0,31066.0,CA,low risk
Elva Serfass,1900-01-01,677,92101,1,1267.0,1267.0,122,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Nga Drumm,1961-09-18,1779,92117,1,1542.0,1542.0,61,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Giovanni Pinney,1964-01-08,854,92123,1,1427.0,1427.0,58,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Damien Rathbun,1900-01-01,474,92103,1,1580.0,1580.0,122,San Diego,San Diego County,32.75,-117.17,19080.0,17827.0,62092.0,31066.0,CA,low risk
Tawny Lipsey,1984-12-08,2231,92139,1,1356.0,1356.0,38,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Angelika Halberg,1968-09-24,95,92101,1,1240.0,1240.0,54,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Yer Avey,1981-08-05,2449,92129,1,-196.2,1308.0,41,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Nga Drumm,1961-09-18,1779,92117,1,1542.0,1542.0,61,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Jerrica Folden,1977-10-07,1105,92119,1,1847.0,1847.0,45,San Diego,San Diego County,32.81,-117.03,9853.0,9537.0,67616.0,23057.0,CA,low risk
Edmundo Echavarria,1972-08-17,626,92120,1,1413.0,1413.0,50,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Martina Poche,1900-01-01,1617,92106,1,1567.0,1567.0,122,San Diego,San Diego County,32.73,-117.23,8322.0,7807.0,82075.0,19330.0,CA,low risk
Callie Kulinski,1900-01-01,275,92104,1,1770.0,1770.0,122,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Erich Corr,1900-01-01,708,92121,1,1367.0,1367.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Pete Folmar,1900-01-01,1883,92131,1,1739.0,1739.0,122,San Diego,San Diego County,32.89,-117.05,11832.0,11574.0,124099.0,32787.0,CA,low risk
Emma Dunkel,1900-01-01,698,92128,1,1502.0,1502.0,122,San Diego,San Diego County,33.0,-117.07,21265.0,20263.0,92531.0,47490.0,CA,low risk
Les Allin,1992-04-12,1403,92121,1,1829.0,1829.0,30,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Edyth Rhee,1900-01-01,633,92124,1,-229.65,1531.0,122,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Buster Pompei,1986-06-07,269,92128,1,2107.0,2107.0,36,San Diego,San Diego County,33.0,-117.07,21265.0,20263.0,92531.0,47490.0,CA,low risk
Nana Rousey,1964-08-26,1750,92129,1,1600.0,1600.0,58,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Leif Ogburn,1968-04-23,1372,92139,1,928.0,928.0,54,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Tawny Lipsey,1984-12-08,2231,92139,1,1356.0,1356.0,38,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Lauran Thacker,1900-01-01,1347,92102,1,768.0,768.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Teri Alderson,1989-02-27,2246,92116,1,1344.0,1344.0,33,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Catrice Tyree,1978-04-14,340,92116,1,1364.0,1364.0,44,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Pilar Dematteo,1966-11-13,1888,92110,1,999.0,999.0,56,San Diego,San Diego County,32.77,-117.21,11426.0,10630.0,59719.0,25341.0,CA,low risk
Callie Kulinski,1900-01-01,275,92104,1,1770.0,1770.0,122,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Marita Iannuzzi,1900-01-01,1600,92124,1,1713.0,1713.0,122,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Randolph Gillies,1966-01-22,1913,92115,1,2335.0,2335.0,56,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Beata Bevans,2023-09-18,184,92107,1,1140.0,1140.0,-1,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Antoinette Belding,1982-09-26,120,92128,1,825.0,825.0,40,San Diego,San Diego County,33.0,-117.07,21265.0,20263.0,92531.0,47490.0,CA,low risk
Belva Brownstein,1983-06-02,190,92139,1,1494.0,1494.0,39,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Marylyn Cardenas,1900-01-01,1634,92121,1,1559.0,1559.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Lindsay Zebrowski,1993-12-06,1420,92120,1,1444.0,1444.0,29,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Eliana Earl,1900-01-01,655,92104,1,1494.0,1494.0,122,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Coleen Jeter,1974-05-16,434,92127,1,1208.0,1208.0,48,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Anamaria Hamernik,1960-10-09,88,92102,1,1282.0,1282.0,62,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Ian Mcmillon,1900-01-01,965,92131,1,1414.0,1414.0,122,San Diego,San Diego County,32.89,-117.05,11832.0,11574.0,124099.0,32787.0,CA,low risk
Machelle Studley,1956-05-19,1505,92114,1,1711.0,1711.0,66,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Sam Ransdell,1968-08-22,2040,92122,1,1438.0,1438.0,54,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Susann Schwarz,1965-09-01,2192,92120,1,1643.0,1643.0,57,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Malik Alexandre,1984-11-02,1541,92116,1,1508.0,1508.0,38,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Evelynn Merkley,1900-01-01,748,92116,1,1312.0,1312.0,122,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Octavia Stoddard,1900-01-01,1827,92121,1,1233.0,1233.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Shawn Britten,1900-01-01,2096,92101,1,1256.0,1256.0,122,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Michaele Bachelor,1900-01-01,1684,92114,1,989.0,989.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Janeen Dollison,1900-01-01,1029,92111,1,1561.0,1561.0,122,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Christian Arredondo,1971-09-15,394,92121,1,1231.0,1231.0,51,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Jacquie Escarcega,1982-01-12,1009,92101,1,1444.0,1444.0,40,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Johanne Behr,1900-01-01,1132,92104,1,1681.0,1681.0,122,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Mica More,1991-02-02,1683,92115,1,1675.0,1675.0,31,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Carlena Holeman,1989-02-23,299,92123,1,1328.0,1328.0,33,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Maisha Furniss,1900-01-01,1536,92130,1,1688.0,1688.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Mariela Whitelaw,1966-01-22,1582,92131,1,1365.0,1365.0,56,San Diego,San Diego County,32.89,-117.05,11832.0,11574.0,124099.0,32787.0,CA,low risk
Trent Lammers,1970-04-15,2320,92130,1,1376.0,1376.0,52,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Shanda Wyche,1964-08-20,2069,92105,1,1544.0,1544.0,58,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Sumiko Melton,1976-04-04,2188,92127,1,1681.0,1681.0,46,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Rosalie Zuber,1900-01-01,1971,92129,1,901.0,901.0,122,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Tricia Seevers,1993-01-06,2326,92116,1,1739.0,1739.0,29,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Darron Spagnuolo,1900-01-01,513,92119,1,1843.0,1843.0,122,San Diego,San Diego County,32.81,-117.03,9853.0,9537.0,67616.0,23057.0,CA,low risk
Leigh Stoll,1963-06-19,1375,92101,1,1141.0,1141.0,59,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Ligia Cash,1983-08-22,1415,92101,1,2021.0,2021.0,39,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Colette Letson,2004-09-17,438,92126,1,1492.0,1492.0,18,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Winford Weiler,1900-01-01,2438,92145,1,1654.0,1654.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Ardelia Schewe,1900-01-01,129,92121,1,1512.0,1512.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Clemmie Lawrence,1958-08-15,422,92111,1,1171.0,1171.0,64,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Russel Lambson,1900-01-01,2013,92113,1,1550.0,1550.0,122,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Nereida Dycus,1991-04-28,1774,92109,1,1554.0,1554.0,31,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Carey Rhines,1900-01-01,295,92102,1,1771.0,1771.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Stacee Lamarche,1900-01-01,2167,92154,1,1910.0,1910.0,122,San Diego,San Diego County,32.6,-117.0,21206.0,20202.0,57618.0,79708.0,CA,low risk
Lynnette Amsler,1989-11-26,1499,92117,1,1179.0,1179.0,33,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Susann Schwarz,1965-09-01,2192,92120,1,1643.0,1643.0,57,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Hsiu Carberry,1961-10-26,957,92139,1,1393.0,1393.0,61,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Delana Fino,1981-01-17,537,92126,1,1412.0,1412.0,41,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Candace Yau,1988-03-27,283,92111,1,1594.0,1594.0,34,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Dwight Ohara,1900-01-01,618,92114,1,1248.0,1248.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Marylyn Cardenas,1900-01-01,1634,92121,1,1559.0,1559.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Luetta Lineman,1974-08-01,1480,92120,1,1790.0,1790.0,48,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Shanon Gupta,1964-06-22,2080,92116,1,1113.0,1113.0,58,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Raylene Paff,1976-06-25,1916,92129,1,1020.0,1020.0,46,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Nga Drumm,1961-09-18,1779,92117,1,1542.0,1542.0,61,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Loma Baskins,1900-01-01,1442,92109,1,1681.0,1681.0,122,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Olen Pentz,1984-07-14,1836,92122,1,1542.0,1542.0,38,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Janel Schranz,1900-01-01,1033,92117,1,1256.0,1256.0,122,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Lennie Schoonover,1900-01-01,1384,92130,1,1613.0,1613.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Dorris Velez,1955-11-25,603,92109,1,1813.0,1813.0,67,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Ryan Heng,1900-01-01,2020,92106,1,1468.0,1468.0,122,San Diego,San Diego County,32.73,-117.23,8322.0,7807.0,82075.0,19330.0,CA,low risk
Tricia Kennan,1900-01-01,2325,92101,1,1658.0,1658.0,122,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Melida Demaree,1900-01-01,1657,92127,1,1384.0,1384.0,122,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Reta Armistead,1900-01-01,1938,92121,1,1426.0,1426.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Merle Ranallo,1900-01-01,1671,92139,1,1226.0,1226.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Violeta Cleary,1900-01-01,2388,92108,1,1230.0,1230.0,122,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Tracey Chrisman,1900-01-01,2313,92126,1,1431.0,1431.0,122,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Gita Towery,1900-01-01,858,92145,1,1485.0,1485.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Joselyn Sunde,1900-01-01,1154,92130,1,1532.0,1532.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
