name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount
Jacquelyn Sergent,01/01/1900,1008,92179,20100301,1764,1764
Veronique Hogans,19960315,2375,92182,07/02/2012,1596,1596
Fiona Vancamp,01/01/1900,774,92145,20101001,1421,1421
Kesha Cesar,01/01/1900,1246,92159,20120602,1063,1063
Sacha Mayhew,07/08/1998,2028,92113,20111001,1545,1545
Mariko Austell,10/27/1978,1588,92122,20100901,1175,1175
,Joey Dufresne,01/01/1900,1126,92153,20120701,1210,1210
Perry Bach,01/01/1900,1881,92124,06/01/2010,1617,1617
Darcie Gandhi,08/28/1983,505,92153,11/01/2011,2040,2040
Hilda Zuehlke,11/09/1975,941,92186,02/01/2011,1594,1594
Muriel Shorey,19000101,1734,92138,20111001,1508,1508
Tamra Trisler,01/01/1900,2213,92172,20100901,1658,1658
Magan Courts,01/01/1900,1527,92108,20110623,1488,1294
Hildegarde Litchford,11/27/1972,942,92147,20110901,1952,1952
Norman Easterwood,01/01/1900,1818,92115,20110701,1777,1777
Tony Story,01/19/2005,2304,92105,20100801,1569,1569
Roosevelt Plump,04/13/1982,1969,92116,20110406,1563,1563
Janeen Dollison,01/01/1900,1029,92111,20110106,1561,1561
,Julissa Sandlin,19720118,1175,92121,20110101,1771,1771
Annabell Roll,01/01/1900,107,92126,20120701,1526,1526
Anisha Abelson,05/05/1993,105,92126,20100401,1185,1185
Laila Blount,06/03/1992,1306,92110,20111001,1628,1628
Ron Wine,07/17/1994,1968,92194,20100401,1634,1634
Arcelia Petrick,06/06/1958,125,92142,20101101,1564,1564
Lizzette Krajewski,12/18/2006,1436,92147,20110323,2225,1935
Vina Sheedy,19790410,2381,92122,20110901,2092,2092
Delpha Stamand,03/18/1971,548,92111,20110901,1685,1685
Alfonso Boggs,19000101,44,92121,20110101,955,955
Georgette Kowalczyk,12/05/1986,834,92136,20100508,2303,2303
Caitlyn Kulesza,11/26/1987,270,92165,20100901,1448,1448
Boyd Silliman,01/01/1900,229,92175,20120807,1331,1065
Dominque Massey,01/01/1900,593,92139,20110301,1509,1509
Sadie Selph,07/21/1987,2030,92149,20120203,1477,1477
Eden Tibbals,02/25/1996,622,92134,20111201,1672,1672
,Loise Payne,08/05/1994,1439,92105,20100601,1842,1842
Annett Pooley,01/01/1900,116,92102,20120504,1584,1584
Sina Lukasik,11/17/1970,2147,92198,20100402,1477,1477
Jaimie Tsang,01/01/1900,1015,92171,20100417,1814,1578
Lauren Bittle,01/01/1900,1348,92122,20110301,1408,1408
Chong Nalls,10/01/1978,391,92176,08/01/2011,1454,1454
Teisha Lanphere,01/01/1900,2235,92140,05/01/2011,1717,1717
Alice Wehling,04/14/1973,53,92112,20111101,1685,1685
Ian Mcmillon,01/01/1900,965,92131,20110501,1414,1414
Korey Ginther,10/01/1993,1272,92158,20100301,1007,1007
Jillian Xu,11/19/1981,1115,92177,20101210,1452,1320
Rosamond Ramsburg,19720222,1977,92182,20111101,1339,1339
Luisa Geibel,09/27/1982,1484,92130,20100401,1132,1132
Holli Romer,10/11/1983,946,92104,20120317,1559,1356
Sina Lukasik,11/17/1970,2147,92198,20100501,1477,1477
Gene Wigfall,19000101,830,92187,20100704,1107,1107
Mariel Cappel,19580102,1583,92164,20111001,1499,1499
Goldie Moriarty,01/01/1900,873,92171,20120301,1680,1680
Alfonzo Pilger,01/01/1900,46,92199,01/07/2012,2140,1712
Erasmo Plaisance,02/19/1980,706,92175,20120601,1417,1417
Delora Conlee,01/01/1900,546,92162,20110413,1338,1217
Ethelene Monaco,01/01/1900,724,92109,20100201,1086,1086
Kary Wein,19420412,1207,92117,20120101,1428,1428
Eugenia Jaffe,01/01/1900,736,92192,20111114,1300,1182
Jonelle Trogdon,01/01/1900,1143,92102,20120812,2025,1841
,Hai Doiron,01/01/1900,899,92110,20120101,977,977
Tamesha Florez,08/17/1967,2206,92115,20110601,1967,1967
Gerry Hitchman,01/01/1900,841,92108,20110602,1874,1874
Nicky Hendon,03/13/1977,1790,92133,20110908,1436,1436
Carly Buitron,01/01/1900,307,92161,20110701,2091,2091
Chad Tsan,01/01/1900,353,92122,20100901,1217,1217
Vanesa Hetherington,05/14/1962,2357,92163,20100503,1445,1445
Oda Kogan,19000101,1828,92187,07/05/2012,1716,1716
Verdell Dunigan,01/01/1900,2362,92129,20120201,1714,1714
Lindsay Zebrowski,12/06/1993,1420,92120,20110201,1444,1444
Jackson Noland,07/11/2007,1004,92140,20110701,1393,1393
Belva Brownstein,06/02/1983,190,92139,20120502,1494,1494
Eloisa Rockett,01/01/1900,672,92108,20120803,1313,1313
Russel Lambson,01/01/1900,2013,92113,20120101,1550,1550
Krysten Scruggs,01/01/1900,1285,92111,20100501,1824,1824
Bok Leclaire,02/14/1948,226,92140,20110301,2174,2174
Margo Zoeller,01/01/1900,1572,92104,20110901,-257.4,1716
Gloria Gamble,03/10/1954,871,92107,20120901,1684,1684
Dayle Laramore,12/04/1997,521,92147,20120601,1241,1241
Chara Mahlum,01/01/1900,362,92197,20100201,1041,1041
,Nadine Defalco,10/20/2001,1744,92104,20110609,1614,1468
Darell Overson,01/01/1900,506,92103,20100401,1684,1684
Leonor Paquin,01/01/1900,1399,92152,20111001,1798,1798
Bryant Mackin,12/14/1979,257,92104,20120301,1310,1310
Tony Manske,01/01/1900,2303,92194,20110709,860,782
Tonie Hossain,01/01/1900,2301,92187,20100501,1770,1770
,Kisha Macias,03/12/1977,1267,92199,20120401,1342,1342
Buford Neblett,01/01/1900,266,92175,20120401,1544,1544
Valery Ensminger,01/01/1900,2354,92166,20111204,1817,1817
Joshua Kubat,01/01/1900,1155,92121,20120301,1508,1508
Wilbur Shope,03/21/1957,2420,92137,08/01/2012,1914,1914
Chara Rochelle,01/01/1900,364,92112,20100409,1069,972
Rodger You,01/01/1900,1957,92164,20111201,1401,1401
Hai Doiron,01/01/1900,899,92110,20111001,977,977
Signe Graney,01/01/1900,2144,92162,20110401,1394,1394
Jodie Dildine,01/01/1900,1122,92177,20110201,1398,1398
Tona Hurlbut,04/23/1981,2295,92109,20100501,1608,1608
Magan Courts,01/01/1900,1527,92108,20100402,1294,1294
Leonard Janney,01/01/1900,1394,92129,20120101,1859,1859
Reuben Mateer,05/20/1986,1940,92109,20100301,2152,2152
Tequila Magee,01/23/1969,2241,92175,20101101,-189.6,1264
Jasmine Caines,01/01/1900,1058,92170,20120301,1451,1451
Pinkie Wittmer,01/01/1900,1889,92169,20120501,1428,1428
Suk Gould,12/18/1969,2186,92179,20110701,1531,1531
Kristal Meals,01/01/1900,1280,92134,20100611,2230,2028
Kraig Lorusso,01/01/1900,1279,92129,20110510,1471,1338
Jacalyn Wight,03/20/1992,998,92147,20100401,1531,1531
Carlo Harrelson,01/01/1900,304,92194,20120705,1642,1642
Evalyn Ipock,01/01/1900,744,92193,20120601,1455,1455
Miranda Zickefoose,01/01/1900,1711,92140,20111201,1549,1549
Jeff Mckeller,01/01/1900,1086,92110,20101106,1142,1142
Noreen Porras,08/09/1989,1815,92132,20110905,1961,1961
Clay Barrington,19000101,419,92103,20111101,1190,1190
Enid Couch,07/03/1984,704,92168,06/18/2012,1869,1626
Keitha Claude,08/16/1982,1234,92155,20111202,1322,1322
Astrid Laurence,05/15/1988,159,92120,12/01/2010,1134,1134
Mikki Penner,01/01/1900,1699,92191,20120601,1862,1862
Alycia Kitchell,01/01/1900,75,92134,20111205,1315,1315
Sarah Hewes,04/06/1949,2053,92165,20111001,1323,1323
Isaac Ivery,10/08/2007,981,92119,20100501,1478,1478
Fumiko Puterbaugh,19000101,810,92129,05/01/2011,1900,1900
Tandy Ammann,12/02/1992,2215,92153,20111201,1438,1438
Elliot Loera,01/01/1900,664,92179,20100901,1417,1417
Norberto Lamphere,02/11/1971,1811,92163,20120701,1743,1743
Delphia Hillwig,10/21/1978,549,92190,20101201,1761,1761
Jani Folger,01/01/1900,1045,92159,20111105,1414,1414
Lore Baird,19000101,1447,92167,20110901,1220,1220
Nathanial Conlon,19990901,1764,92169,20101001,1415,1415
Evelynn Merkley,01/01/1900,748,92116,20100501,1312,1312
Edda Boettger,07/12/1974,621,92140,20120801,2305,2305
Jarod Topping,01/01/1900,1054,92138,20120502,1342,1342
Salley Oriley,01/01/1900,2033,92199,20111009,1708,1553
,Colene Fitts,07/08/1982,436,92139,20100501,1435,1435
Jaime Ambrose,01/01/1900,1014,92128,20100828,1987,1728
Rossana Janecek,01/01/1900,1994,92142,20100301,2053,2053
Raelene Freitas,01/01/1900,1907,92197,05/02/2011,1900,1900
Dahlia Quade,01/01/1900,467,92198,20100801,1566,1566
Erminia Boehmer,19000101,713,92159,20110301,1791,1791
Leighann Neighbors,01/07/1969,1373,92104,20101001,1981,1981
Ollie Pancake,01/01/1900,1841,92134,20110401,1889,1889
,Wilber Haymon,12/15/1985,2419,92174,20100508,1381,1381
Hai Doiron,01/01/1900,899,92110,20120901,977,977
Shanel Sproles,01/17/1976,2073,92113,20100601,1739,1739
Isela Briley,01/01/1900,987,92113,20120801,1054,1054
Lashandra Flannagan,06/26/1971,1330,92104,20111001,1519,1519
Margarete Gallivan,04/16/1989,1558,92138,20101203,1489,1489
Ernestine Freeze,01/01/1900,715,92152,20120901,1259,1259
Elma Bozell,12/05/1971,669,92140,20120801,1243,1243
Elenor Kerfoot,01/01/1900,649,92105,20120301,1493,1493
Mitzi Sheckler,01/01/1900,1723,92117,20120603,1667,1667
Consuela Gasca,10/01/1985,444,92142,20110701,1137,1137
Anne Mielke,19530411,115,92168,20110916,2379,2163
Georgene Cropper,07/09/1970,832,92191,20110701,1567,1567
Otha Mccary,01/01/1900,1847,92126,20110508,1382,1382
Ehtel Debnam,11/19/1960,636,92107,20110601,1694,1694
Ahmad Eakin,01/01/1900,23,92186,20100601,1411,1411
Kyung Fraga,01/23/1958,1302,92190,20110203,1683,1683
Sherman Westberry,19810905,2122,92123,20110901,2062,2062
Moshe Woodbridge,01/01/1900,1732,92193,20110501,1477,1477
,Teri Alderson,02/27/1989,2246,92116,20101101,1344,1344
Jeana Pace,04/05/1969,1076,92191,20100802,1429,1429
Sammy Piedra,10/12/1939,2039,92162,20100403,1234,1234
,Suellen Sigmon,01/01/1900,2185,92184,20120804,1704,1704
,Naida Bergh,01/01/1900,1745,92123,20111202,1081,1081
Delila Roque,02/08/1997,539,92147,20111101,1820,1820
Merna Lasalle,01/01/1900,1673,92132,20120801,1054,1054
Randolph Gillies,01/22/1966,1913,92115,20101101,2335,2335
Gerard Jones,01/01/1900,838,92105,20110801,1431,1431
,Harmony Eshelman,07/21/1989,913,92122,20100901,-199.2,1328
Bryant Kovar,07/09/1971,256,92102,20101001,898,898
,Carolyn Witmer,10/04/1965,328,92179,20100603,1408,1408
Elly Escamilla,04/11/1970,668,92126,20120801,1994,1994
Lynnette Amsler,11/26/1989,1499,92117,20110601,1179,1179
Bernadine Schuett,01/01/1900,195,92164,20110201,1929,1929
Esta Cataldo,11/09/1987,718,92112,20111201,1188,1188
Latia Mckeighan,01/01/1900,1342,92195,07/04/2012,1205,1205
Johnson Lovingood,01/01/1900,1138,92184,20100901,1633,1633
Trudie Barret,01/01/1900,2329,92120,20111101,1318,1318
Krystyna Vansant,19690326,1288,92171,20100914,2047,1861
Malcolm Casali,08/12/1980,1540,92101,20110908,885,885
Vito Sundquist,01/01/1900,2392,92175,20100619,2021,1758
Salvatore Keim,01/17/1968,2035,92103,20100601,1764,1764
Lee Bickford,11/11/1972,1368,92158,20100903,1085,1085
Loise Payne,08/05/1994,1439,92105,20100201,1842,1842
Sylvester Um,19770509,2196,92104,20120101,1947,1947
Denny Webber,03/12/1989,563,92115,20110901,1886,1886
Eduardo Paez,05/13/1951,630,92145,20110501,1341,1341
Portia Pettiford,01/01/1900,1894,92142,20111101,1493,1493
Tamara Tapper,12/22/1991,2203,92163,20120715,1394,1268
Vernie Whitelaw,01/01/1900,2372,92168,20100401,1543,1543
Joshua Kubat,01/01/1900,1155,92121,20110901,1508,1508
Mayme Graybill,01/01/1900,1646,92184,20110101,1516,1516
Bernadine Schuett,01/01/1900,195,92164,20100901,1929,1929
Gracie Strasburg,01/01/1900,874,92113,20101001,1708,1708
,Staci Arreguin,19000101,2169,92160,20110415,1235,1123
Alva Guadarrama,10/11/1989,69,92119,20110501,1948,1948
Chester Heron,01/01/1900,388,92120,20110601,2081,2081
Harmony Eshelman,07/21/1989,913,92122,20100601,1328,1328
Dewitt Matthews,01/01/1900,575,92162,20120301,2123,2123
Eunice Broadwater,01/01/1900,740,92101,20120901,1608,1608
Alton Barber,06/03/1987,67,92193,20111101,1465,1465
Walter Squillace,01/01/1900,2402,92112,20110908,1536,1536
,Wilber Haymon,12/15/1985,2419,92174,20110314,1519,1381
Jame Metzer,01/01/1900,1022,92109,02/02/2010,1292,1292
Venessa Ishibashi,01/01/1900,2360,92132,20111001,1172,1172
Camila Mess,06/01/1973,279,92149,05/01/2010,1824,1824
Justine Wu,01/01/1900,1177,92107,20101201,1580,1580
Zofia Bilodeau,09/28/2004,2468,92124,20100403,1665,1665
Armanda Primus,08/24/1973,145,92126,20110101,945,945
Candra Lerman,01/01/1900,289,92199,20111201,1316,1316
Magdalen Pimentel,01/01/1900,1528,92115,20100715,1817,1652
Callie Kulinski,01/01/1900,275,92104,12/01/2010,1770,1770
Sammy Piedra,10/12/1939,2039,92162,20100309,1357,1234
Wilhemina Luckey,02/02/1990,2423,92115,04/04/2012,1395,1395
Jackie Hottinger,10/19/2010,1002,92187,20111108,1930,1930
Rudy Stirling,04/02/2005,2008,92136,20120601,1362,1362
Eva Bamburg,01/01/1900,743,92123,20110401,1398,1398
Pamila Macky,01/01/1900,1858,92198,20110702,1861,1861
Irina Situ,08/10/1962,979,92197,20110509,2373,2158
Genaro Tooker,04/03/1964,827,92174,20101001,1275,1275
Nieves Mercier,01/01/1900,1796,92164,20100801,1486,1486
Rosalind Reinbold,01/01/1900,1975,92139,20110901,1322,1322
Mikki Penner,01/01/1900,1699,92191,20100201,1862,1862
Nicky Hendon,03/13/1977,1790,92133,20100825,1651,1436
Collene Larocco,06/24/1959,442,92137,20100901,1871,1871
Floretta Slemp,11/27/1982,782,92193,20101201,1655,1655
Kary Bechard,19000101,1204,92136,20100201,1621,1621
Malorie Bartsch,07/26/1970,1545,92111,20120501,1402,1402
Lizzette Krajewski,12/18/2006,1436,92147,20100614,2128,1935
Lenora Ohm,01/01/1900,1388,92137,20120601,1620,1620
Melida Demaree,01/01/1900,1657,92127,20120401,,1384
Pasquale Breitenstein,09/13/1954,1862,92101,20120901,1038,1038
,Kiera Sanner,01/01/1900,1252,92112,20110601,1280,1280
Dahlia Pedrick,01/01/1900,466,92196,05/07/2012,1475,1475
Angelika Lamorte,19000101,96,92129,02/01/2012,1103,1103
Naida Folsom,01/01/1900,1746,92150,20120501,1069,1069
Williams Banh,09/04/1984,2432,92166,10/01/2010,1460,1460
Arletha Plumadore,01/01/1900,140,92111,20120101,1501,1501
Deloris Meiners,02/24/1978,547,92114,04/01/2011,1466,1466
Yevette Vickers,01/01/1900,2453,92106,20120701,1693,1693
Olin Cephas,01/01/1900,1838,92171,20120901,-155.25,1035
Nelle Domingues,01/01/1900,1773,92196,20100306,1342,1342
Vickey Bruggeman,01/01/1900,2379,92139,20110203,2066,2066
Nathaniel Prahl,01/01/1900,1767,92110,20101008,1570,1256
Chau Well,01/01/1900,376,92111,20120901,1191,1191
,Aida Osterman,01/24/1977,27,92136,20110211,2142,1948
Onie Tuck,01/01/1900,1844,92110,20110901,1828,1828
Marshall Fosdick,01/01/1900,1615,92135,20110905,2087,2087
Freida Poirer,03/17/1957,808,92170,20110201,1096,1096
Lura Baxley,01/01/1900,1490,92133,20101101,1714,1714
Paulina Lefort,05/22/1970,1869,92129,20120701,1324,1324
Sabrina Griese,01/01/1900,2026,92158,20100301,1636,1636
Cherise Chaney,01/01/1900,383,92132,12/01/2010,1789,1789
Tamisha Trumbull,02/02/2002,2209,92174,20100301,1505,1505
Naida Folsom,01/01/1900,1746,92150,20120701,1069,1069
Kizzy Finkbeiner,11/22/1967,1271,92176,20101001,1369,1369
Darin Greenwald,19971221,508,92166,20100501,1278,1278
Clotilde Schultze,19700210,432,92147,20120101,1536,1536
,Lesa Bever,09/12/1957,1402,92170,20120201,1670,1670
Dewayne Maffucci,11/21/1992,574,92138,20100701,1124,1124
Marlon Desouza,12/15/1975,1608,92106,20110101,1370,1370
Anabel Odem,11/11/1978,85,92117,20111006,1726,1726
Dominic Gullett,12/03/1988,591,92103,20111201,1451,1451
Ian Mcmillon,01/01/1900,965,92131,20100901,1414,1414
Ceola Costas,01/12/2001,352,92165,20100903,1938,1938
Reyes Gullickson,07/23/2016,1941,92150,20110701,1625,1625
Trinity Moline,01/01/1900,2327,92160,20101219,2370,2061
Gianna Propp,01/01/1900,845,92130,20100801,1227,1227
Samuel Behrens,01/01/1900,2042,92134,20120403,1493,1493
Isaac Ivery,10/08/2007,981,92119,20110901,1478,1478
Boyd Silliman,01/01/1900,229,92175,20101010,1171,1065
,Elia Veasey,11/17/1972,657,92111,20120301,-218.25,1455
Fleta Willms,11/08/1973,777,92174,20100501,1361,1361
Dona Warnock,01/01/1900,596,92166,20100701,917,917
Lisa Card,19000101,1426,92187,03/01/2012,1683,1683
Breanne Haught,05/09/1979,242,92131,20100803,1416,1416
Ying Koogler,01/01/1900,2455,92166,20110401,1474,1474
Dominque Massey,01/01/1900,593,92139,20110801,1509,1509
Brendan Josephson,01/01/1900,243,92150,20120601,1208,1208
Anh Honn,03/23/1980,101,92149,20100802,1597,1597
Derick Maus,19000101,567,92195,20100603,1089,1089
Reba Byham,10/09/1980,1924,92117,20110101,1592,1592
Wilber Haymon,12/15/1985,2419,92174,20101230,1588,1381
Dion Wingrove,01/01/1900,586,92131,10/01/2011,1663,1663
Major Alfonso,01/01/1900,1537,92139,20110101,1716,1716
Rufus Puryear,01/01/1900,2009,92142,02/01/2010,1833,1833
,Maribeth Pretty,01/01/1900,1580,92172,20110201,1161,1161
Kiara Brathwaite,04/07/1982,1249,92121,20110310,1558,1417
Jamila Decuir,01/01/1900,1025,92110,20111101,1334,1334
Heather Kosinski,01/01/1900,924,92176,20120501,1524,1524
Graig Peguero,12/04/1961,878,92161,20120801,1720,1720
Cary Steveson,01/01/1900,331,92126,20111101,1406,1406
Raguel Keller,01/01/1900,1908,92170,20110407,1851,1851
Lani Hessler,01/01/1900,1319,92138,20110901,1464,1464
Marilu Krell,01/01/1900,1594,92133,20120601,1792,1792
Tara Noll,10/08/1972,2224,92162,20120901,1440,1440
Juliana Cooney,01/01/1900,1168,92140,20120701,1644,1644
Latesha Emmons,01/01/1900,1338,92139,20100901,869,869
Breanne Haught,05/09/1979,242,92131,20110702,1416,1416
Shanda Kubik,01/01/1900,2068,92111,20111101,1104,1104
Sanora Bondy,05/25/2014,2047,92126,20120401,1374,1374
Emilie Fairley,11/18/1993,691,92158,20100816,1348,1226
Haydee Shadduck,02/04/1977,921,92168,20120502,1222,1222
,Wilson Ressler,05/18/1969,2437,92117,20100502,1606,1606
Tosha Aquilar,01/01/1900,2309,92120,20111102,1652,1652
Leisa Corriveau,11/11/1982,1377,92163,20100601,1497,1497
Myrle Mcgranahan,01/01/1900,1738,92142,20101201,1611,1611
Deandrea Yedinak,19000101,526,92124,07/01/2012,2205,2205
Tatum Moodie,05/07/1988,2228,92197,20110601,864,864
Aurelio Roman,06/13/1981,166,92110,20101201,1441,1441
Nikki Levins,08/23/1950,1798,92117,20110901,1127,1127
Ida Mawson,01/28/1981,966,92194,03/04/2012,975,975
Sean Proctor,01/01/1900,2057,92117,08/09/2010,2161,1965
Odilia Crossley,19770120,1833,92109,03/06/2012,1276,1276
Blythe Carbonneau,01/01/1900,223,92140,20111101,1855,1855
Verdie Domingo,12/15/1975,2363,92124,20101101,1634,1634
Rubin Hauck,01/01/1900,2004,92161,20111201,1937,1937
Helaine Amendola,01/01/1900,927,92166,20111201,-147.9,986
Sharri Lipson,01/01/1900,2093,92129,20101201,1175,1175
Raymundo Varn,19681020,1920,92142,20101004,1371,1371
Morris Poage,01/01/1900,1730,92137,20110701,1617,1617
Kali Gorecki,06/16/1958,1184,92124,20100704,1988,1591
Dwight Ohara,01/01/1900,618,92114,20120701,1248,1248
Rona Eskew,01/01/1900,1963,92182,09/09/2011,1493,1358
Shay Vides,09/07/1963,2108,92101,20110301,1589,1589
Nichole Nethery,01/01/1900,1786,92123,20110412,1342,1220
Anika Fetzer,01/01/1900,102,92131,20110701,1825,1825
Lucila Gaskamp,01/01/1900,1472,92131,20120301,1930,1930
Vernice Daves,07/28/1962,2371,92109,20101201,1628,1628
Gay Botelho,07/08/1977,816,92196,20120901,1818,1818
Annemarie Vankleeck,05/02/1988,114,92169,20100501,1677,1677
Reita Evett,01/01/1900,1930,92193,02/01/2011,1715,1715
Rosario Heckman,05/09/1967,1981,92113,05/09/2012,1386,1260
,Giovanna Wakefield,02/04/1992,852,92174,20100201,1401,1401
Birdie Smelley,01/12/1951,213,92187,20120501,1681,1681
Julie Tarbox,08/05/1961,1173,92179,20120603,1299,1299
Donald Goudy,01/20/1976,595,92177,20110401,1546,1546
,Sharron Frizzell,01/01/1900,2094,92195,20110901,824,824
Nubia Schebler,06/27/1969,1821,92104,20100601,1690,1690
Rubie Mirarchi,01/07/1982,2001,92135,20101001,1212,1212
Merrie Amaker,02/28/1985,1674,92150,20111101,1956,1956
Candance Dively,08/13/1993,284,92164,20100301,1384,1384
Tennille Crunk,10/19/1976,2237,92171,20120501,1238,1238
,Adeline Hodgkinson,01/01/1900,14,92171,20120109,,1241
Steve Mcgirt,06/22/1963,2180,92123,20120603,1080,1080
Salley Oriley,01/01/1900,2033,92199,20120701,1553,1553
Collene Larocco,06/24/1959,442,92137,20101201,1871,1871
Muriel Shorey,19000101,1734,92138,20111201,1508,1508
Harriette Ditch,01/02/1978,915,92139,20110501,1235,1235
Ione Streett,05/28/2002,976,92133,04/01/2012,1426,1426
Meagan Stuck,05/20/1991,1650,92101,20100204,1876,1876
Tegan Zepeda,02/27/1994,2232,92191,20111101,1785,1785
Lettie Caron,01/26/2002,1408,92170,03/01/2010,1571,1571
Claudio Anson,01/01/1900,417,92139,20120901,1687,1687
Gilda Hamilton,11/04/2001,851,92145,20120505,1636,1636
Meagan Stuck,05/20/1991,1650,92101,20120109,2063,1876
Felicia Leicht,01/01/1900,760,92153,20101001,1415,1415
Von Slayton,19000101,2398,92108,04/02/2011,1493,1493
Dann Kerwin,02/22/1966,492,92140,20110405,1741,1741
Sylvester Grief,01/01/1900,2195,92184,20110401,1751,1751
Lonna Meek,01/01/1900,1444,92194,20110813,1947,1770
Cassaundra Cirilo,04/15/1991,332,92182,20110801,808,808
Tuan Delrio,07/05/1975,2335,92135,20110801,1701,1701
Porfirio Machnik,02/25/1985,1892,92160,20101001,1255,1255
Yun Guimond,01/01/1900,2462,92160,08/01/2011,1461,1461
Kesha Stackhouse,01/01/1900,1247,92176,20100305,1396,1396
Edith Couto,11/23/1972,624,92175,20110201,1283,1283
Carl Hickerson,08/13/1950,300,92198,20100702,1697,1697
Cassey Viverette,01/01/1900,333,92195,20101101,1906,1906
Meagan Stuck,05/20/1991,1650,92101,20101004,1876,1876
Eliana Earl,01/01/1900,655,92104,20100301,1494,1494
Colette Letson,09/17/2004,438,92126,20100610,1641,1492
Clementina Hammes,08/24/1950,421,92109,20110701,1661,1661
Gregoria Brucker,01/01/1900,887,92122,20110401,1159,1159
Marcellus Germany,01/01/1900,1552,92159,20101001,1988,1988
Kimberely Stlouis,01/01/1900,1254,92136,20120809,1543,1403
Brande Buttner,07/10/1983,238,92134,06/05/2012,1443,1443
Corie Grove,01/01/1900,447,92128,20120408,1004,1004
Kaylee Harder,01/01/1900,1224,92195,20120901,1462,1462
Eva Bamburg,01/01/1900,743,92123,20111201,,1398
Perry Bach,01/01/1900,1882,92194,20100901,1577,1577
Gregg Disney,02/25/1981,883,92175,08/01/2010,1923,1923
Carmella Buchanan,19961209,312,92115,20120225,1566,1362
Booker Gadberry,01/01/1900,227,92149,20100901,1567,1567
Santiago Demaria,08/08/1979,2051,92128,20120301,-300.45,2003
Clarence Seller,01/01/1900,406,92170,20120807,1781,1781
Gemma Amado,01/01/1900,823,92152,20120301,1905,1905
Morris Poage,01/01/1900,1730,92137,20100401,1617,1617
Muriel Wichman,05/14/1985,1737,92152,20110201,1299,1299
Kylie Beumer,01/01/1900,1299,92171,20120801,1687,1687
Alyssa Mintz,01/01/1900,76,92198,20110101,1726,1726
Phillip Burden,19000101,1886,92121,20110810,1525,1387
Donita Gaut,02/11/1954,598,92170,20110601,1581,1581
Joselyn Plattner,02/01/1977,1153,92113,20100501,1720,1720
Ardelia Schewe,01/01/1900,129,92121,20120701,1512,1512
Cassey Viverette,01/01/1900,335,92199,20120902,1693,1693
Raymundo Varn,19681020,1920,92142,20110806,1371,1371
Melvin Doe,01/01/1900,1665,92177,20111101,1353,1353
Elly Escamilla,04/11/1970,668,92126,20110101,1994,1994
Angelyn Cavaliere,01/01/1900,98,92193,20111001,1521,1521
Sean Sharman,01/01/1900,2058,92153,20120701,1321,1321
Edyth Rhee,19000101,632,92163,20100302,1437,1437
Gerard Jones,01/01/1900,838,92105,20120801,1431,1431
Trudie Hilchey,01/01/1900,2332,92196,10/01/2011,1680,1680
Belva Hash,11/10/1952,191,92132,20110505,1541,1541
Ivonne Ransom,05/28/1993,997,92190,20120701,1834,1834
Carly Buitron,01/01/1900,307,92161,20110801,2091,2091
Wanita Calzada,01/01/1900,2409,92136,20100703,1075,1075
Ivan Berrey,03/13/1989,992,92113,20120314,1602,1282
Jazmine Kittel,19000101,1073,92175,20100901,1260,1260
Carlena Holeman,02/23/1989,299,92123,20120801,1328,1328
Marybeth Gula,05/05/1966,1629,92109,20110801,1746,1746
Kraig Lorusso,01/01/1900,1279,92129,20110604,1338,1338
Ward Ealy,07/06/1957,2410,92147,20110301,1618,1618
Letty Morrison,12/08/1975,1412,92164,20110901,1513,1513
Vito Sundquist,01/01/1900,2392,92175,20110515,1933,1758
Molly Kochan,02/02/2007,1724,92139,20100301,1568,1568
Dong Vong,01/01/1900,597,92132,20120301,1383,1383
Clementina Hammes,08/24/1950,421,92109,20120701,1661,1661
Alex Earle,11/02/2001,43,92149,05/05/2012,1490,1490
,Beverlee Mischke,01/01/1900,208,92195,20100901,1836,1836
Logan Cunningham,01/24/1992,1438,92152,20100301,1279,1279
Dayna Kerfoot,01/01/1900,522,92163,20100901,1315,1315
Martha Rocha,05/06/1980,1616,92140,20100401,1533,1533
Nathanial Conlon,19990901,1765,92131,20111001,1580,1580
Skye Garris,01/01/1900,2149,92140,20120509,1564,1422
Naida Folsom,01/01/1900,1746,92150,20100401,1069,1069
Theron Galeana,07/13/1982,2265,92158,20120701,1404,1404
Earlean Cichon,01/01/1900,619,92104,20110906,1056,1056
Ettie Rozek,04/09/1983,728,92123,05/01/2010,1366,1366
,Ouida Vanzile,01/01/1900,1853,92147,20110502,1593,1593
Loise Payne,08/05/1994,1439,92105,20120301,1842,1842
Stepanie Gagnon,01/01/1900,2177,92127,20120703,1607,1607
Coleen March,01/01/1900,435,92120,20101201,937,937
Chau Well,01/01/1900,376,92111,20110502,1191,1191
Erik Gullett,11/03/1954,710,92122,20120501,1322,1322
Christa Gobel,12/13/1957,393,92187,20120606,1580,1580
Despina Alegria,01/28/1979,571,92108,20100901,1677,1677
Delora Conlee,01/01/1900,546,92162,20120313,1338,1217
Anisa Aitchison,11/14/1978,103,92101,20120903,1536,1536
Delphia Palacio,01/01/1900,550,92128,20110101,1895,1895
Janeen Dollison,01/01/1900,1029,92111,20100812,1717,1561
Tianna Greenwell,01/14/1983,2273,92190,20100401,1597,1597
